page|106
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|375,917,360.74|363,503,409.95
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
page|107
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|11,157,076.56|9,291,331.77
经营活动现金流入小计|387,074,437.30|372,794,741.72
购买商品、接受劳务支付的现金|201,487,070.04|239,709,437.28
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|55,279,347.76|52,839,888.63
支付的各项税费|22,112,366.52|15,981,509.63
支付其他与经营活动有关的现金|23,353,685.78|34,070,122.53
经营活动现金流出小计|302,232,470.10|342,600,958.07
经营活动产生的现金流量净额|84,841,967.20|30,193,783.65
二、投资活动产生的现金流量：||
收回投资收到的现金|113,000,000.00|365,000,000.00
取得投资收益收到的现金|378,816.83|3,312,353.57
处置固定资产、无形资产和其他长期资产收回的现金净额|309,771.56|2,203,300.98
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|113,688,588.39|370,515,654.55
购建固定资产、无形资产和其他长期资产支付的现金|24,335,819.06|68,516,846.44
page|108
投资支付的现金|147,750,000.00|275,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|172,085,819.06|343,516,846.44
投资活动产生的现金流量净额|-58,397,230.67|26,998,808.11
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|205,622,698.96|53,040,288.15
收到其他与筹资活动有关的现金|24,750,976.88|56,903,796.36
筹资活动现金流入小计|230,373,675.84|109,944,084.51
偿还债务支付的现金|89,953,236.08|53,100,844.34
分配股利、利润或偿付利息支付的现金|51,654,518.83|109,221,544.14
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|102,458,654.07|24,750,976.88
筹资活动现金流出小计|244,066,408.98|187,073,365.36
筹资活动产生的现金流量净额|-13,692,733.14|-77,129,280.85
四、汇率变动对现金及现金等价物的影响|-135,437.77|88,748.96
五、现金及现金等价物净增加额|12,616,565.62|-19,847,940.13
加：期初现金及现金等价物余额|32,800,101.86|52,648,041.99
六、期末现金及现金等价物余额|45,416,667.48|32,800,101.86
