page|132
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|六、1|31,764,005,472.24|27,608,322,041.76
交易性金融资产|六、2|31,120,000.00|51,902,900.00
衍生金融资产|||
应收票据|||
应收账款|六、3|319,110,554.87|323,176,402.39
应收款项融资|||
预付款项|六、4|660,124,582.89|892,197,444.92
其他应收款|六、5|23,748,165,074.27|24,437,333,970.42
其中：应收利息|六、5.1|0.00|1,849,878.57
应收股利|||
存货|六、6|87,457,160,567.93|75,768,833,691.30
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|六、7|5,284,361,071.31|4,786,014,291.16
流动资产合计||149,264,047,323.51|133,867,780,741.95
非流动资产：|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|六、8|11,471,373,614.83|11,305,133,352.83
其他权益工具投资|||
其他非流动金融资产|六、9|59,617,644.01|74,237,644.01
投资性房地产|六、10|29,295,195,994.91|29,287,198,101.38
固定资产|六、11|4,047,770,155.24|4,224,817,041.69
在建工程|六、12|171,053.83|1,409,387.00
生产性生物资产|六、13|0.00|0.00
使用权资产|六、14|240,892,743.03|157,474,135.83
无形资产|六、15|1,814,087,747.64|1,892,792,820.85
开发支出|||
商誉|六、16|305,214,299.04|305,214,299.04
长期待摊费用|六、17|73,592,294.04|63,553,596.56
递延所得税资产|六、18|2,382,723,208.22|2,074,663,479.04
其他非流动资产|六、19|916,701,886.67|933,739,168.35
非流动资产合计||50,607,340,641.46|50,320,233,026.58
资产总计||199,871,387,964.97|184,188,013,768.53
page|133
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动负债：|||
短期借款|六、20|2,214,002,988.87|3,196,114,096.93
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|六、21|17,092,591,094.22|11,175,214,343.73
预收款项|六、22|272,308,186.38|29,792,315,314.27
合同负债|六、23|37,986,659,305.32|7,781,447,545.78
应付职工薪酬|六、24|533,623,086.15|600,020,453.62
应交税费|六、25|7,412,113,280.53|6,177,430,800.48
其他应付款|六、26|12,934,144,193.18|12,985,391,788.00
其中：应付利息|六、26.1|355,899,610.42|384,471,221.54
应付股利|六、26.2|255,030,215.00|399,446,538.40
持有待售负债|||
一年内到期的非流动负债|六、27|16,162,866,824.53|13,675,263,214.06
其他流动负债|六、28|3,355,358,356.68|0.00
流动负债合计||97,963,667,315.86|85,383,197,556.87
非流动负债：|||
长期借款|六、29|46,942,677,606.81|45,894,506,601.61
应付债券|六、30|5,845,627,710.99|6,975,333,382.79
租赁负债|六、31|219,951,887.51|147,542,406.48
长期应付款|六、32|0.00|0.00
长期应付职工薪酬|||
预计负债|六、33|93,301,475.59|43,159,798.40
递延收益|六、34|1,205,043,914.10|1,289,285,886.61
递延所得税负债|六、18|657,672,019.84|678,953,614.57
其他非流动负债|六、35|1,297,180,866.44|1,292,143,123.14
非流动负债合计||56,261,455,481.28|56,320,924,813.60
负  债  合  计||154,225,122,797.14|141,704,122,370.47
股东权益：|||
股本|六、36|4,286,313,339.00|4,286,313,339.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|六、37|8,555,500,996.87|8,511,008,781.73
减：库存股|||
其他综合收益|六、38|-136,152,661.16|-180,104,437.90
专项储备|||
盈余公积|六、39|1,262,367,943.26|1,191,907,996.26
一般风险准备|||
未分配利润|六、40|4,383,043,289.58|5,544,702,579.68
归属于母公司股东权益合计||18,351,072,907.55|19,353,828,258.77
少数股东权益||27,295,192,260.28|23,130,063,139.29
股东权益合计||45,646,265,167.83|42,483,891,398.06
负债和股东权益总计||199,871,387,964.97|184,188,013,768.53
