page|57
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|597,563,975.37|687,549,702.57
结算备付金||
拆出资金||
交易性金融资产|50,342,222.22|
衍生金融资产||
应收票据|72,082,292.19|47,135,920.87
应收账款|168,955,712.67|167,884,960.67
应收款项融资||
预付款项|2,072,581.88|7,858,375.67
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|1,817,964.88|9,913,392.71
其中：应收利息||8,087,277.77
应收股利||
买入返售金融资产||
存货|127,462,998.89|141,791,660.34
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|59,218,796.61|32,802,965.89
流动资产合计|1,079,516,544.71|1,094,936,978.72
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|175,957,635.73|172,064,111.44
在建工程|69,707,270.22|39,269,068.36
生产性生物资产||
油气资产||
使用权资产||
无形资产|23,780,203.39|25,973,104.51
page|58
开发支出||
商誉||
长期待摊费用||
递延所得税资产|2,159,076.96|2,159,713.63
其他非流动资产|11,252,349.64|8,166,558.70
非流动资产合计|282,856,535.94|247,632,556.64
资产总计|1,362,373,080.65|1,342,569,535.36
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|30,342,074.31|47,421,127.43
预收款项||3,744,126.76
合同负债|1,921,864.81|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|12,503,352.98|11,516,194.00
应交税费|5,105,739.10|2,824,999.62
其他应付款|11,414,911.32|11,283,509.74
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|249,842.43|
流动负债合计|61,537,784.95|76,789,957.55
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|244,813.64|335,774.37
递延所得税负债|51,333.33|
其他非流动负债||
page|59
非流动负债合计|296,146.97|335,774.37
负债合计|61,833,931.92|77,125,731.92
所有者权益：||
股本|323,146,360.00|323,146,360.00
其他权益工具||
其中：优先股||
永续债||
资本公积|496,202,753.84|496,202,753.84
减：库存股||
其他综合收益||
专项储备||
盈余公积|161,573,180.00|154,435,623.21
一般风险准备||
未分配利润|312,751,602.80|285,222,186.92
归属于母公司所有者权益合计|1,293,673,896.64|1,259,006,923.97
少数股东权益|6,865,252.09|6,436,879.47
所有者权益合计|1,300,539,148.73|1,265,443,803.44
负债和所有者权益总计|1,362,373,080.65|1,342,569,535.36
