page|80
||百万元|百万元
资产|||
流动资产|||
货币资金|5|184,412|128,052
交易性金融资产||1|3,319
衍生金融资产|6|12,528|837
应收账款|7|35,587|54,375
应收款项融资|8|8,735|8,661
预付款项|9|4,862|5,063
其他应收款|10|33,602|24,190
存货|11|151,895|194,142
其他流动资产||23,773|28,671
流动资产合计||455,395|447,310
非流动资产|||
长期股权投资|12|188,342|152,204
其他权益工具投资||1,525|1,521
固定资产|13|589,285|625,706
在建工程|14|124,765|173,872
使用权资产|15|189,583|198,051
无形资产|16|114,066|109,039
商誉|17|8,620|8,697
长期待摊费用|18|9,535|8,935
递延所得税资产|19|25,054|17,616
其他非流动资产|20|27,635|17,335
非流动资产合计||1,278,410|1,312,976
资产总计||1,733,805|1,760,286
page|81
||百万元|百万元
负债和股东权益|||
流动负债|||
短期借款|22|20,756|31,196
衍生金融负债|6|4,826|2,729
应付票据|23|10,394|11,834
应付账款|24|151,262|188,189
合同负债|25|126,160|126,833
应付职工薪酬|26|7,081|4,807
应交税费|27|76,843|69,524
其他应付款|28|84,600|75,376
一年内到期的非流动负债|29|22,493|69,490
其他流动负债|30|17,775|-
流动负债合计||522,190|579,978
非流动负债|||
长期借款|31|45,459|39,677
应付债券|32|38,356|19,157
租赁负债|33|172,306|177,674
预计负债|34|45,552|43,163
递延所得税负债|19|8,124|6,809
其他非流动负债|35|17,942|15,454
非流动负债合计||327,739|301,934
负债合计||849,929|881,912
股东权益|||
股本|36|121,071|121,071
资本公积|37|122,558|122,864
其他综合收益|38|1,038|(321)
专项储备||1,941|1,741
盈余公积|39|209,280|207,423
未分配利润||286,575|287,187
归属于母公司股东权益合计||742,463|739,965
少数股东权益||141,413|138,409
股东权益合计||883,876|878,374
负债和股东权益总计||1,733,805|1,760,286
