page|137
|附注|2020年12月31日|2019年12月31日
资产|||
货币资金|七、1|92,727,553,502.78|70,329,276,149.83
其中：客户资金存款|七、1|76,851,884,742.29|60,281,957,293.02
结算备付金|七、2|17,583,856,009.46|11,276,474,884.56
其中：客户备付金|七、2|12,316,798,684.31|9,485,071,510.87
融出资金|七、3|82,018,447,598.08|58,721,318,360.66
衍生金融资产|七、4|869,501,481.76|208,502,701.01
存出保证金|七、5|16,194,045,384.14|10,735,256,392.21
应收款项|七、6|12,215,069,756.19|5,116,838,493.30
买入返售金融资产|七、7|31,863,071,212.20|30,438,084,072.04
金融投资：|||
交易性金融资产|七、8|92,647,010,128.78|74,039,119,174.28
债权投资|七、9|5,789,251,783.64|5,031,295,864.93
其他债权投资|七、10|52,130,232,360.70|23,017,490,419.13
其他权益工具投资|七、11|33,868,190,940.87|19,349,248,070.01
长期股权投资|七、12|1,308,173,070.69|1,320,135,982.87
投资性房地产||7,837,537.50|8,034,187.50
固定资产|七、13|303,404,371.42|276,718,303.25
在建工程||27,599,832.48|-
使用权资产|七、14|922,537,957.96|1,339,653,532.16
无形资产|七、15|525,100,703.45|493,538,105.23
商誉|七、16|426,453,896.27|439,538,680.25
递延所得税资产|七、17|69,192,260.85|99,832,078.83
其他资产|七、18|4,233,686,038.20|3,425,521,981.78
page|138
|附注|2020年12月31日|2019年12月31日
负债|||
短期借款|七、21|7,993,492,610.46|5,775,420,038.07
应付短期融资款|七、22|48,286,385,500.98|17,659,517,315.52
拆入资金|七、23|15,617,255,567.62|8,177,307,038.33
交易性金融负债|七、24|10,030,747,201.77|1,718,081,624.77
衍生金融负债|七、4|1,973,411,740.85|469,791,795.92
卖出回购金融资产款|七、25|88,113,404,866.42|54,855,653,810.50
代理买卖证券款|七、26|97,670,918,638.02|80,508,860,269.58
代理承销证券款|七、27|11,138,610.00|-
应付职工薪酬|七、28|3,714,225,414.95|3,354,729,064.45
应交税费|七、29|569,993,076.19|363,083,801.38
应付款项|七、30|11,627,129,675.66|2,766,214,205.46
应付债券|七、31|65,669,418,791.97|64,023,358,183.26
递延所得税负债|七、17|191,231,232.55|261,392,439.43
租赁负债|七、14|913,498,354.26|1,336,724,225.09
其他负债|七、32|11,339,906,805.81|2,474,045,715.04
负债合计||363,722,158,087.51|243,744,179,526.80
股东权益|||
股本|七、33|10,137,258,757.00|10,137,258,757.00
其他权益工具|七、34|4,962,171,698.13|-
其中：永续债||4,962,171,698.13|-
资本公积|七、35|25,227,335,094.87|25,022,895,958.83
其他综合收益|七、52|372,329,921.59|802,506,721.40
盈余公积|七、36|6,744,840,189.43|6,083,975,483.31
一般风险准备|七、37|11,509,738,127.73|9,933,043,865.37
未分配利润|七、38|22,300,856,483.29|18,915,913,292.54
归属于母公司股东权益合计||81,254,530,272.04|70,895,594,078.45
少数股东权益||753,527,467.87|1,026,103,828.58
股东权益合计||82,008,057,739.91|71,921,697,907.03
负债和股东权益总计||445,730,215,827.42|315,665,877,433.83
