page|110
项目|附注七|2020 年度|2019 年度
一、营业总收入||3,244,172,276.95|2,907,667,567.52
手续费及佣金净收入|56|2,102,213,588.11|1,559,304,028.96
其中：经纪业务手续费净收入||958,750,915.60|601,033,144.51
投资银行业务手续费净收入||305,169,570.64|217,175,620.13
资产管理业务手续费净收入||825,442,857.02|731,338,068.49
利息净收入|55|898,671,773.84|830,187,584.52
其中：利息收入||1,594,748,135.88|1,684,533,527.52
利息支出||696,076,362.04|854,345,943.00
投资收益（损失以“-”号填列）|57|235,473,959.25|343,113,805.05
其他收益|59|108,370,936.49|93,593,962.60
公允价值变动收益（损失以“-”号填列）|60|(97,858,454.45)|77,655,053.93
汇兑收益（损失以“-”号填列）||(4,471,494.99)|1,642,481.81
其他业务收入||1,968,338.84|2,145,414.85
资产处置收益（损失以“－”号填列）||(196,370.14)|25,235.80
二、营业总支出||2,120,906,624.49|1,908,697,781.16
税金及附加|63|21,485,461.13|17,213,312.38
业务及管理费|64|1,883,300,953.83|1,828,816,648.16
其他资产减值损失|66|-|2,048,333.33
信用减值损失|65|213,380,162.71|58,554,968.79
其他业务成本|67|2,740,046.82|2,064,518.50
三、营业利润（亏损以“-”号填列）||1,123,265,652.46|998,969,786.36
加：营业外收入|68|198,040.46|16,945,469.43
减：营业外支出|69|6,305,457.10|507,050.34
四、利润总额（亏损总额以“-”号填列）||1,117,158,235.82|1,015,408,205.45
减：所得税费用|70|232,239,545.37|215,346,404.65
五、净利润（净亏损以“－”号填列）||884,918,690.45|800,061,800.80
1.归属于母公司股东的净利润（净亏损以“-”号填列）||883,226,868.37|798,252,971.86
2.少数股东损益（净亏损以“-”号填列）||1,691,822.08|1,808,828.94
六、其他综合收益的税后净额|51|(10,924,670.14)|(971,397.76)
归属母公司所有者的其他综合收益的税||(10,924,670.14)|(971,397.76)
page|111
后净额|||
（一）不能重分类进损益的其他综合收益||-|-
（二）将重分类进损益的其他综合收益||(10,924,670.14)|(971,397.76)
1.其他债权投资公允价值变动||(11,066,723.10)|(974,144.39)
2.其他债权投资信用损失准备||142,052.96|2,746.63
归属于少数股东的其他综合收益的税后净额||-|-
七、综合收益总额||873,994,020.31|799,090,403.04
归属于母公司所有者的综合收益总额||872,302,198.23|797,281,574.10
归属于少数股东的综合收益总额||1,691,822.08|1,808,828.94
八、每股收益：|||
（一）基本每股收益(元/股)||0.32|0.32
（二）稀释每股收益(元/股)||0.32|0.32
