page|106
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||58,007,244,900.43|60,897,947,032.09
客户存款和同业存放款项净增加额||0|0
向中央银行借款净增加额||0|0
向其他金融机构拆入资金净增加额||0|0
收到原保险合同保费取得的现金||0|0
收到再保业务现金净额||0|0
保户储金及投资款净增加额||0|0
收取利息、手续费及佣金的现金||0|0
拆入资金净增加额||0|0
回购业务资金净增加额||0|0
代理买卖证券收到的现金净额||0|0
收到的税费返还||0|0
收到其他与经营活动有关的现金|七．78|697,146,361.57|886,370,554.05
经营活动现金流入小计||58,704,391,262.00|61,784,317,586.14
购买商品、接受劳务支付的现金||50,231,097,232.93|53,261,973,139.34
客户贷款及垫款净增加额||0|0
存放中央银行和同业款项净增加额||0|0
支付原保险合同赔付款项的现金||0|0
拆出资金净增加额||0|0
支付利息、手续费及佣金的现金||0|0
支付保单红利的现金||0|0
支付给职工及为职工支付的现金||1,708,655,138.95|1,753,735,457.81
支付的各项税费||1,350,824,688.40|1,476,798,577.49
支付其他与经营活动有关的现金|七．78|849,209,620.82|1,113,068,258.99
经营活动现金流出小计||54,139,786,681.10|57,605,575,433.63
经营活动产生的现金流量净额||4,564,604,580.90|4,178,742,152.51
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,275,000.00|8,000,000.00
取得投资收益收到的现金||85,857,617.60|33,515,511.01
处置固定资产、无形资产和其他长期资产收回的现金净额||198,074,609.82|233,609,695.16
处置子公司及其他营业单位收到的现金净额||0|0
收到其他与投资活动有关的现金|七．78|88,086,037.41|122,381,832.85
投资活动现金流入小计||374,293,264.83|397,507,039.02
购建固定资产、无形资产和其他长期资产支付的现金||618,661,438.55|761,528,738.69
投资支付的现金||50,295,000.00|204,557,800.00
质押贷款净增加额||0|0
取得子公司及其他营业单位支付的现金净额||842,690,314.77|0
支付其他与投资活动有关的现金|七．78|263,550,175.02|67,157,539.18
投资活动现金流出小计||1,775,196,928.34|1,033,244,077.87
投资活动产生的现金流量净额||-1,400,903,663.51|-635,737,038.85
三、筹资活动产生的现金流量：|||
page|107
吸收投资收到的现金||2,069,531,800.34|1,033,865,836.00
其中：子公司吸收少数股东投资收到的现金||200,000,000.00|1,021,395,160.00
取得借款收到的现金||31,173,617,644.98|35,068,914,102.59
收到其他与筹资活动有关的现金|七．78|6,993,225,301.17|9,093,628,198.46
筹资活动现金流入小计||40,236,374,746.49|45,196,408,137.05
偿还债务支付的现金||35,388,124,233.49|38,436,903,275.31
分配股利、利润或偿付利息支付的现金||1,971,692,276.42|2,552,796,538.39
其中：子公司支付给少数股东的股利、利润||162,670,000.00|100,900,000.00
支付其他与筹资活动有关的现金|七．78|4,539,809,585.33|8,566,634,918.34
筹资活动现金流出小计||41,899,626,095.24|49,556,334,732.04
筹资活动产生的现金流量净额||-1,663,251,348.75|-4,359,926,594.99
四、汇率变动对现金及现金等价物的影响||-12,752,764.24|25,099,258.53
五、现金及现金等价物净增加额||1,487,696,804.40|-791,822,222.80
加：期初现金及现金等价物余额||5,101,233,998.24|5,893,056,221.04
六、期末现金及现金等价物余额||6,588,930,802.64|5,101,233,998.24
