page|108
项目|2020 年度|2019 年度
一、营业总收入|1,162,285,734.05|1,438,860,202.69
其中：营业收入|1,162,285,734.05|1,438,860,202.69
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,139,992,743.58|1,361,330,465.93
其中：营业成本|788,403,464.44|986,832,735.46
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|13,894,667.38|11,898,355.98
销售费用|118,984,912.96|138,531,844.49
管理费用|114,662,707.36|113,792,739.43
研发费用|80,668,590.55|88,515,569.21
财务费用|23,378,400.89|21,759,221.36
其中：利息费用|21,022,561.93|20,433,314.16
利息收入|916,445.02|919,806.84
加：其他收益|31,807,072.09|30,283,768.16
投资收益（损失以“－”号填列）|-8,040,775.85|-3,117,347.92
其中：对联营企业和合营企业的投资收益|282,555.55|-388,392.22
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填||
page|109
列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||61,326,003.48
信用减值损失（损失以“-”号填列）|-17,550,723.62|-14,445,150.95
资产减值损失（损失以“-”号填列）|-703,866.62|-49,374,337.17
资产处置收益（损失以“-”号填列）|98,665.62|-121,500.09
三、营业利润（亏损以“－”号填列）|27,903,362.09|102,081,172.27
加：营业外收入|1,672,278.69|5,870,454.53
减：营业外支出|1,300,782.47|441,689.07
四、利润总额（亏损总额以“－”号填列）|28,274,858.31|107,509,937.73
减：所得税费用|-3,855,214.01|19,238,423.14
五、净利润（净亏损以“－”号填列）|32,130,072.32|88,271,514.59
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|32,130,072.32|88,271,514.59
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|30,060,733.41|87,936,350.60
2.少数股东损益|2,069,338.91|335,163.99
六、其他综合收益的税后净额|-587,764.04|112,635.00
归属母公司所有者的其他综合收益的税后净额|-587,764.04|112,635.00
（一）不能重分类进损益的其他综合收益|-587,764.04|112,635.00
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-587,764.04|112,635.00
page|110
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|31,542,308.28|88,384,149.59
归属于母公司所有者的综合收益总额|29,472,969.37|88,048,985.60
归属于少数股东的综合收益总额|2,069,338.91|335,163.99
八、每股收益：||
（一）基本每股收益|0.11|0.34
（二）稀释每股收益|0.11|0.34
