page|64
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|1,894,052,658.70|2,055,671,413.46
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||148,200.00
应收账款|22,125,645.60|13,127,307.37
应收款项融资||
预付款项|425,232,629.77|443,378,229.22
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|148,467,829.31|202,104,561.00
page|65
其中：应收利息||
应收股利|155,542.50|200,700.00
买入返售金融资产||
存货|2,272,816,334.94|3,683,237,892.70
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|219,255,057.80|281,829,850.13
流动资产合计|4,981,950,156.12|6,679,497,453.88
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|30,013,817.44|29,986,959.25
其他权益工具投资|639,486,442.78|603,364,692.92
其他非流动金融资产||
投资性房地产|36,569,965.77|44,560,837.15
固定资产|6,277,915,813.73|6,464,792,846.41
在建工程|3,765,559,964.99|2,502,625,079.50
生产性生物资产||
油气资产||
使用权资产||
无形资产|6,682,497,603.51|6,873,590,410.93
开发支出||
商誉||
长期待摊费用|306,131,913.51|315,992,994.76
递延所得税资产|82,025,028.93|80,728,991.07
其他非流动资产||
非流动资产合计|17,820,200,550.66|16,915,642,811.99
资产总计|22,802,150,706.78|23,595,140,265.87
流动负债：||
短期借款|1,536,488,000.00|1,072,357,048.22
向中央银行借款||
page|66
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||3,640,000.00
应付账款|2,503,610,861.61|2,742,898,558.49
预收款项|31,984,157.72|4,658,246,855.60
合同负债|3,063,830,680.64|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|277,560,480.64|278,828,556.50
应交税费|354,121,334.24|300,927,199.30
其他应付款|1,874,625,821.17|1,976,885,675.73
其中：应付利息|10,535,471.51|23,283,264.12
应付股利|2,846,864.03|2,846,864.03
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|77,786,370.00|1,407,105,363.00
其他流动负债|390,380,607.32|508,052,354.50
流动负债合计|10,110,388,313.34|12,948,941,611.34
非流动负债：||
保险合同准备金||
长期借款|1,739,640,279.30|1,061,286,370.00
应付债券|955,799,916.30|
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬|28,714,335.29|31,675,326.74
预计负债||
递延收益||
递延所得税负债|52,386,610.70|43,356,173.23
page|67
其他非流动负债||
非流动负债合计|2,776,541,141.59|1,136,317,869.97
负债合计|12,886,929,454.93|14,085,259,481.31
所有者权益：||
股本|768,992,731.00|768,992,731.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,448,918,710.33|1,448,918,710.33
减：库存股||
其他综合收益|157,159,832.08|130,068,519.69
专项储备||
盈余公积|1,626,825,711.91|1,517,134,547.09
一般风险准备||
未分配利润|5,913,324,266.53|5,644,766,276.45
归属于母公司所有者权益合计|9,915,221,251.85|9,509,880,784.56
少数股东权益||
所有者权益合计|9,915,221,251.85|9,509,880,784.56
负债和所有者权益总计|22,802,150,706.78|23,595,140,265.87
