page|73
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|6,383,961,344.20|5,070,197,374.46
结算备付金|||
拆出资金|||
交易性金融资产|七、2|333,617,855.87|76,013,001.50
衍生金融资产|||
应收票据|七、4|2,336,118,723.70|1,453,117,882.27
应收账款|七、5|9,839,815,236.87|12,411,215,595.01
应收款项融资|七、6|1,500,000.00|18,829,797.12
预付款项|七、7|163,511,096.49|442,943,709.34
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|318,682,284.91|880,926,813.06
其中：应收利息|||8,358,139.91
应收股利|||
买入返售金融资产|||
存货|七、9|856,244,832.45|2,146,262,003.73
合同资产|七、10|3,575,023,845.90|
持有待售资产|||
page|74
一年内到期的非流动资产|七、12||34,200,000.00
其他流动资产|七、13|646,062,109.03|699,557,623.66
流动资产合计||24,454,537,329.42|23,233,263,800.15
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|87,233,276.00|84,277,300.61
其他权益工具投资|七、18|833,261,310.55|1,391,799,818.05
其他非流动金融资产|七、19|710,660,783.99|766,404,678.25
投资性房地产|七、20|57,857,218.03|23,063,952.34
固定资产|七、21|1,225,881,319.84|1,082,496,113.15
在建工程|七、22|9,199,462.39|2,327,531.37
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|628,722,669.04|670,883,215.94
开发支出|||
商誉|七、28|845,078,985.56|826,535,191.11
长期待摊费用|七、29|114,710,384.64|105,204,427.31
递延所得税资产|七、30|389,080,430.05|428,303,153.45
其他非流动资产|七、31|25,626,914.68|19,653,288.50
非流动资产合计||4,927,312,754.77|5,400,948,670.08
资产总计||29,381,850,084.19|28,634,212,470.23
流动负债：|||
短期借款|七、32|1,778,261,240.02|3,274,630,260.85
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|5,975,814,264.79|4,516,917,588.23
应付账款|七、36|7,974,699,379.44|8,080,809,317.91
预收款项|七、37||1,266,095,079.80
合同负债|七、38|1,182,872,780.82|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|419,061,204.55|384,356,775.82
应交税费|七、40|187,252,604.86|118,098,865.06
其他应付款|七、41|166,164,896.57|130,203,229.07
其中：应付利息|||17,667,990.98
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|75,932,361.17|274,123,093.85
page|75
其他流动负债|七、44|896,466,589.23|640,868,088.98
流动负债合计||18,656,525,321.45|18,686,102,299.57
非流动负债：|||
保险合同准备金|||
长期借款|七、45|279,363,501.54|428,305,032.85
应付债券|七、46|297,330,884.77|199,509,331.89
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48|67,677,543.68|130,339,967.58
长期应付职工薪酬|||
预计负债|七、50|31,779,548.21|
递延收益|七、51|37,074,999.12|44,616,285.85
递延所得税负债|七、30|28,670,328.46|31,901,667.35
其他非流动负债|||
非流动负债合计||741,896,805.78|834,672,285.52
负债合计||19,398,422,127.23|19,520,774,585.09
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|1,154,050,000.00|1,154,050,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|3,836,401,315.10|4,019,440,032.94
减：库存股|七、56|156,911,311.53|156,911,311.53
其他综合收益|七、57|122,552,347.61|-102,386,098.11
专项储备|七、58||
盈余公积|七、59|268,720,648.32|254,461,119.15
一般风险准备|||
未分配利润|七、60|3,390,198,438.26|2,620,662,919.22
归属于母公司所有者权益（或股东权益）合计||8,615,011,437.76|7,789,316,661.67
少数股东权益||1,368,416,519.20|1,324,121,223.47
所有者权益（或股东权益）合计||9,983,427,956.96|9,113,437,885.14
负债和所有者权益（或股东权益）总计||29,381,850,084.19|28,634,212,470.23
