page|79
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|134,136,526.96|59,086,008.56
结算备付金||
拆出资金||
交易性金融资产|13,598,949.12|21,808,250.90
衍生金融资产||
应收票据||
应收账款|127,645,973.46|85,993,992.40
应收款项融资|3,786,036.12|3,364,343.89
预付款项|814,575.69|705,565.14
page|80
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|6,674,903.92|113,201,509.19
其中：应收利息||
应收股利||
买入返售金融资产||
存货|152,160,634.42|110,027,482.51
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|299,008.62|249,650.83
流动资产合计|439,116,608.31|394,436,803.42
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||12,519,309.34
投资性房地产||
固定资产|54,942,201.13|59,019,805.28
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产|9,592,651.75|11,021,681.70
开发支出||
商誉||
长期待摊费用||
递延所得税资产|63,958,027.28|7,987,618.85
其他非流动资产|104,300.00|
非流动资产合计|128,597,180.16|90,548,415.17
page|81
资产总计|567,713,788.47|484,985,218.59
流动负债：||
短期借款|72,116,313.34|103,192,328.88
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|43,049,766.03|9,190,000.00
应付账款|36,035,811.58|57,078,015.51
预收款项||15,085,030.92
合同负债|37,048,185.44|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|29,153,231.24|20,654,608.95
应交税费|24,167,971.18|8,194,504.35
其他应付款|110,542,658.75|140,660,425.87
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|35,000,000.00|25,000,000.00
其他流动负债|3,085,345.85|101,597.22
流动负债合计|390,199,283.41|379,156,511.70
非流动负债：||
保险合同准备金||
长期借款|25,000,000.00|70,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
page|82
长期应付职工薪酬||
预计负债|1,018,210.58|
递延收益|2,115,686.22|2,268,627.42
递延所得税负债|2,039,842.37|3,271,237.64
其他非流动负债||
非流动负债合计|30,173,739.17|75,539,865.06
负债合计|420,373,022.58|454,696,376.76
所有者权益：||
股本|129,806,000.00|121,642,380.00
其他权益工具||
其中：优先股||
永续债||
资本公积|271,284,735.98|161,652,932.12
减：库存股|114,546,900.00|28,861,110.00
其他综合收益|17,653.14|230,563.12
专项储备||
盈余公积|13,828,517.56|13,828,517.56
一般风险准备||
未分配利润|-154,109,134.81|-239,628,784.55
归属于母公司所有者权益合计|146,280,871.87|28,864,498.25
少数股东权益|1,059,894.02|1,424,343.58
所有者权益合计|147,340,765.89|30,288,841.83
负债和所有者权益总计|567,713,788.47|484,985,218.59
