page|143
项目|附注|2020 年度|2019 年度
一、营业总收入||3,119,815,364.42|2,583,271,531.26
手续费及佣金净收入|五、（三十九）|1,768,965,499.26|1,578,021,438.84
其中：经纪业务手续费净收入||417,737,475.79|287,116,367.67
投资银行业务手续费净收入||447,468,745.53|415,018,164.60
资产管理业务手续费净收入||687,409,143.56|750,577,784.27
利息净收入|五、（四十）|121,219,266.24|-92,477,781.07
其中：利息收入||745,202,108.54|565,897,201.56
利息支出||623,982,842.30|658,374,982.63
投资收益（损失以“-”号填列）|五、（四十一）|1,109,331,978.27|683,411,769.23
其中：对联营企业和合营企业的投资收益||201,386,659.37|137,911,913.21
其他收益|五、（四十二）|4,041,429.50|4,014,925.93
公允价值变动收益（损失以“-”号填列）|五、（四十三）|72,195,276.79|354,483,081.44
汇兑收益（损失以“-”号填列）||-1,533,117.49|468,132.72
其他业务收入|五、（四十四）|45,364,499.55|55,281,796.63
资产处置收益（损失以“-”号填列）|五、（四十五）|230,532.30|68,167.54
二、营业总支出||2,122,513,816.91|1,895,846,336.04
税金及附加|五、（四十六）|23,168,507.83|20,076,537.18
业务及管理费|五、（四十七）|1,866,785,549.43|1,550,539,298.05
信用减值损失|五、（四十八）|217,283,206.57|313,927,163.28
其他资产减值损失|五、（四十九）|4,800,000.00|
其他业务成本|五、（四十四）|10,476,553.08|11,303,337.53
三、营业利润（亏损以“-”号填列）||997,301,547.51|687,425,195.22
加：营业外收入|五、（五十）|52,778,487.73|5,664,126.46
减：营业外支出|五、（五十一）|4,410,515.17|493,000.00
四、利润总额（亏损总额以“-”号填列）||1,045,669,520.07|692,596,321.68
减：所得税费用|五、（五十二）|166,597,417.99|109,472,834.45
五、净利润（净亏损以“-”号填列）||879,072,102.08|583,123,487.23
（一）按经营持续性分类|||
1．持续经营净利润（净亏损以“-”号填列）||879,072,102.08|583,123,487.23
2．终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1．归属于母公司股东的净利润（净亏损以“-”号填列）||812,687,972.06|513,058,068.89
2．少数股东损益（净亏损以“-”号填列）||66,384,130.02|70,065,418.34
六、其他综合收益的税后净额||293,784.18|-212,203.14
归属于母公司所有者的其他综合收益的税后净额|五、（三十五）|293,453.87|-76,560.43
（一）不能重分类进损益的其他综合收益|||
1．重新计量设定受益计划变动额|||
2．权益法下不能转损益的其他综合收益|||
3．其他权益工具投资公允价值变动|||
4．企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||293,453.87|-76,560.43
1．权益法下可转损益的其他综合收益||293,453.87|-76,560.43
2．其他债权投资公允价值变动|||
3．金融资产重分类计入其他综合收益的金额|||
4．其他债权投资信用损失准备|||
5．现金流量套期储备（现金流量套期损益的有效部分）|||
6．外币财务报表折算差额|||
7．其他|||
归属于少数股东的其他综合收益的税后净额||330.31|-135,642.71
七、综合收益总额||879,365,886.26|582,911,284.09
归属于母公司所有者的综合收益总额||812,981,425.93|512,981,508.46
归属于少数股东的综合收益总额||66,384,460.33|69,929,775.63
八、每股收益|||
（一）基本每股收益（元/股）||0.21|0.15
（二）稀释每股收益（元/股）||0.21|0.15
