page|93
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||8,767,750,124.49|14,317,366,099.93
结算备付金|||
拆出资金|||
交易性金融资产||1,055,191,244.71|48,785,784.80
衍生金融资产|||
应收票据||161,625,007.63|633,564,863.60
应收账款||1,244,416,936.61|2,350,380,440.10
应收款项融资|||
预付款项||1,218,386,548.91|2,339,261,199.21
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||132,470,963.43|1,822,048,699.16
其中：应收利息|||8,794,796.77
应收股利|||
买入返售金融资产|||
存货||4,199,310,024.12|4,344,806,992.50
合同资产||4,445,388,926.29|6,336,385,363.12
持有待售资产|||
一年内到期的非流动资产|||692,000,000.00
其他流动资产||577,884,115.75|350,850,895.77
流动资产合计||21,802,423,891.94|33,235,450,338.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款||1,996,607,880.36|2,703,137,274.56
长期股权投资||4,938,277,647.10|753,695,038.72
其他权益工具投资||3,923,780,494.34|71,248,734.49
其他非流动金融资产|||
投资性房地产||149,261,481.66|20,993,939.36
固定资产||3,952,299,253.50|11,439,928,689.69
在建工程||348,779,440.60|1,181,944,326.01
page|94
生产性生物资产|||
油气资产|||
使用权资产||116,000,602.24|149,351,363.01
无形资产||918,938,540.79|2,072,573,536.99
开发支出|||
商誉|||144,231,195.67
长期待摊费用||21,210,225.34|75,592,524.66
递延所得税资产||380,087,605.36|377,902,704.29
其他非流动资产||389,850,209.29|78,019,489.34
非流动资产合计||17,135,093,380.58|19,068,618,816.79
资产总计||38,937,517,272.52|52,304,069,154.98
流动负债：|||
短期借款||2,049,871,666.70|6,147,082,148.56
向中央银行借款|||
拆入资金|||
交易性金融负债|||221,737,672.75
衍生金融负债|||
应付票据||2,292,202,595.08|3,063,415,001.67
应付账款||5,587,133,569.37|8,687,397,898.75
预收款项||7,855,200.00|
合同负债||5,172,239,729.14|8,488,146,386.62
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||851,463.48|40,446,901.64
应交税费||26,054,822.85|72,234,563.79
其他应付款||158,810,463.41|344,881,770.61
其中：应付利息|||35,332,096.80
应付股利||304,042.49|394,042.49
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||2,884,252,298.08|2,281,928,067.24
其他流动负债||319,331,239.99|63,237,341.88
流动负债合计||18,498,603,048.10|29,410,507,753.51
非流动负债：|||
保险合同准备金|||
长期借款||2,117,721,642.34|6,049,757,000.00
应付债券|||
其中：优先股|||
page|95
永续债|||
租赁负债||96,494,152.25|110,198,081.27
长期应付款|||101,816,823.07
长期应付职工薪酬||166,642,915.39|229,389,012.33
预计负债||146,653,315.33|694,854,560.21
递延收益||78,742,779.90|150,307,309.25
递延所得税负债||281,517,181.48|9,514,927.47
其他非流动负债|||
非流动负债合计||2,887,771,986.69|7,345,837,713.60
负债合计||21,386,375,034.79|36,756,345,467.11
所有者权益（或股东权益）：|||
实收资本（或股本）||1,413,506,378.00|1,413,506,378.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||9,309,822,030.75|9,418,941,779.55
减：库存股|||
其他综合收益||699,020,433.90|-41,694,917.30
专项储备|||443,910.04
盈余公积||1,035,952,912.65|962,452,773.01
一般风险准备|||
未分配利润||1,973,789,791.39|-1,605,393,084.53
归属于母公司所有者权益（或股东权益）合计||14,432,091,546.69|10,148,256,838.77
少数股东权益||3,119,050,691.04|5,399,466,849.10
所有者权益（或股东权益）合计||17,551,142,237.73|15,547,723,687.87
负债和所有者权益（或股东权益）总计||38,937,517,272.52|52,304,069,154.98
