page|86
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,791,445,760.22|1,978,100,861.91
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现||
page|87
金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|2,156,518.50|6,937,548.62
收到其他与经营活动有关的现金|23,544,398.46|18,758,095.92
经营活动现金流入小计|2,817,146,677.18|2,003,796,506.45
购买商品、接受劳务支付的现金|617,210,847.11|471,172,604.37
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,514,752,243.21|1,206,883,815.72
支付的各项税费|49,436,004.95|88,749,625.36
支付其他与经营活动有关的现金|330,273,560.14|89,607,221.70
经营活动现金流出小计|2,511,672,655.41|1,856,413,267.15
经营活动产生的现金流量净额|305,474,021.77|147,383,239.30
二、投资活动产生的现金流量：||
收回投资收到的现金|62,133,000.00|2,595,580.00
取得投资收益收到的现金|1,755,679.57|1,166,216.63
处置固定资产、无形资产和其他长期资产收回的现金净额|5,669,529.87|6,034,511.77
处置子公司及其他营业单位收到的现金净额||11,753,387.80
收到其他与投资活动有关的现金||12,000,000.00
投资活动现金流入小计|69,558,209.44|33,549,696.20
购建固定资产、无形资产和其|678,985,033.92|704,128,298.95
page|88
他长期资产支付的现金||
投资支付的现金|132,048,161.92|2,600,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|811,033,195.84|706,728,298.95
投资活动产生的现金流量净额|-741,474,986.40|-673,178,602.75
三、筹资活动产生的现金流量：||
吸收投资收到的现金|5,137,895.00|248,090,705.00
其中：子公司吸收少数股东投资收到的现金|5,137,895.00|41,882,105.00
取得借款收到的现金|1,188,382,812.76|871,578,305.96
收到其他与筹资活动有关的现金|438,153,555.56|122,885,693.85
筹资活动现金流入小计|1,631,674,263.32|1,242,554,704.81
偿还债务支付的现金|611,341,277.80|304,390,815.96
分配股利、利润或偿付利息支付的现金|91,057,699.78|56,683,975.51
其中：子公司支付给少数股东的股利、利润|6,637,355.99|2,999,508.40
支付其他与筹资活动有关的现金|209,862,409.40|195,295,924.66
筹资活动现金流出小计|912,261,386.98|556,370,716.13
筹资活动产生的现金流量净额|719,412,876.34|686,183,988.68
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|283,411,911.71|160,388,625.23
加：期初现金及现金等价物余额|357,783,039.57|197,394,414.34
六、期末现金及现金等价物余额|641,194,951.28|357,783,039.57
