page|121
||本集团||本银行|
|附注七|2020 年|2019 年|2020 年|2019 年
资产|||||
现金及存放中央银行款项|1|411,147|486,444|411,138|486,430
存放同业及其他金融机构款项|2|95,207|87,260|86,490|81,829
贵金属||4,947|401|4,947|401
拆出资金|3|191,939|231,475|206,148|243,929
衍生金融资产|4|59,396|32,724|59,387|32,722
买入返售金融资产|5|123,350|41,861|116,945|37,988
发放贷款和垫款|6|3,867,321|3,345,180|3,834,605|3,316,610
金融投资：|7||||
交易性金融资产|7.1|823,927|652,034|773,552|628,253
债权投资|7.2|1,550,131|1,444,176|1,535,542|1,431,325
其他债权投资|7.3|516,368|599,382|514,919|597,801
其他权益工具投资|7.4|2,388|1,929|2,308|1,929
应收融资租赁款|8|100,616|106,273|-|-
长期股权投资|9|3,549|3,413|23,776|23,601
固定资产|10|26,414|24,641|20,471|18,892
在建工程|11|1,935|3,463|1,931|3,441
无形资产||712|647|652|603
商誉|12|532|532|-|-
递延所得税资产|13|45,513|40,799|42,348|37,984
其他资产|14|68,608|43,047|56,101|34,518
资产总计||7,894,000|7,145,681|7,691,260|6,978,256
page|122
||本集团||本银行|
|附注七|2020 年|2019 年|2020 年|2019 年
负债|||||
向中央银行借款||290,398|168,259|290,398|168,259
同业及其他金融机构存放款项|15|1,487,079|1,233,937|1,495,587|1,245,608
拆入资金|16|180,171|192,310|71,448|97,194
交易性金融负债|17|16,062|4,214|14,721|4,106
衍生金融负债|4|61,513|31,444|61,505|31,442
卖出回购金融资产款|18|123,567|193,412|111,630|184,072
吸收存款|19|4,084,242|3,794,832|4,085,300|3,797,501
应付职工薪酬|20|20,204|17,738|17,790|15,909
应交税费|21|12,304|14,476|11,018|13,226
预计负债|22|5,397|6,253|5,397|6,253
应付债券|23|947,393|899,116|916,560|871,106
递延所得税负债|13|74|-|-|-
其他负债|24|40,793|40,038|18,956|21,124
负债合计||7,269,197|6,596,029|7,100,310|6,455,800
page|123
||本集团||本银行|
|附注七|2020 年|2019 年|2020 年|2019 年
股东权益|||||
股本|25|20,774|20,774|20,774|20,774
其他权益工具|26|85,802|55,842|85,802|55,842
其中：优先股||55,842|55,842|55,842|55,842
永续债||29,960|-|29,960|-
资本公积|27|74,914|74,914|75,260|75,260
其他综合收益|39|(749)|3,232|(751)|3,192
盈余公积|28|10,684|10,684|10,684|10,684
一般风险准备|29|87,535|78,525|83,382|74,829
未分配利润|30|336,626|297,389|315,799|281,875
归属于母公司股东权益合计||615,586|541,360|590,950|522,456
少数股东权益||9,217|8,292|-|-
股东权益合计||624,803|549,652|590,950|522,456
负债和股东权益总计||7,894,000|7,145,681|7,691,260|6,978,256
