page|95
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
page|96
货币资金|861,392,322.42|652,642,877.23
结算备付金||
拆出资金||
交易性金融资产|1,023,573,887.87|880,301,343.62
衍生金融资产||
应收票据|189,888,173.88|85,540,988.65
应收账款|708,835,204.81|861,497,162.34
应收款项融资||
预付款项|263,175,313.06|324,616,774.22
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|47,009,144.91|56,833,861.89
其中：应收利息|1,468.91|
应收股利||
买入返售金融资产||
存货|1,213,723,454.51|1,081,370,179.77
合同资产|114,830,306.50|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|26,470,962.69|26,771,327.06
流动资产合计|4,448,898,770.65|3,969,574,514.78
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|56,803,835.48|60,670,746.98
其他权益工具投资|59,500,000.00|92,532,294.75
其他非流动金融资产|203,541,061.16|105,257,524.00
投资性房地产|43,480,402.81|24,145,418.98
固定资产|1,147,677,711.35|1,208,847,391.05
在建工程|30,303,186.88|34,290,873.06
page|97
生产性生物资产||
油气资产||
使用权资产||
无形资产|192,500,206.39|203,181,596.75
开发支出||
商誉||2,036,378.00
长期待摊费用|2,427,230.43|2,104,601.80
递延所得税资产|99,202,808.22|92,058,519.30
其他非流动资产||
非流动资产合计|1,835,436,442.72|1,825,125,344.67
资产总计|6,284,335,213.37|5,794,699,859.45
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|666,511,106.46|479,420,000.00
应付账款|881,473,361.10|760,653,433.07
预收款项||1,187,486,090.77
合同负债|1,136,435,691.91|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|139,453,943.36|118,236,212.07
应交税费|42,958,436.74|28,115,014.71
其他应付款|181,267,293.12|139,802,688.73
其中：应付利息||
应付股利|202,500.00|
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|98
一年内到期的非流动负债|116,550.80|
其他流动负债|149,453,677.81|
流动负债合计|3,197,670,061.30|2,713,713,439.35
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|123,091.86|
长期应付职工薪酬||
预计负债||33,322,828.57
递延收益|63,886,376.40|70,280,610.36
递延所得税负债|856,946.92|447,772.84
其他非流动负债||
非流动负债合计|64,866,415.18|104,051,211.77
负债合计|3,262,536,476.48|2,817,764,651.12
所有者权益：||
股本|797,652,687.00|797,652,687.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,194,294,744.57|1,181,623,460.31
减：库存股|78,620,739.45|80,012,270.96
其他综合收益||13,861,370.54
专项储备|27,989,698.23|25,106,691.53
盈余公积|313,727,667.46|253,872,682.49
一般风险准备||
未分配利润|756,501,243.62|755,269,517.83
归属于母公司所有者权益合计|3,011,545,301.43|2,947,374,138.74
少数股东权益|10,253,435.46|29,561,069.59
所有者权益合计|3,021,798,736.89|2,976,935,208.33
page|99
负债和所有者权益总计|6,284,335,213.37|5,794,699,859.45
