page|77
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||155,053,119.12|73,842,084.03
结算备付金|||
拆出资金|||
交易性金融资产|||
衍生金融资产|||
应收票据||69,751,950.63|89,066,033.37
应收账款||238,053,706.66|197,196,659.76
应收款项融资|||
预付款项||8,503,520.04|1,975,599.15
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||1,151,791.72|3,295,815.26
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||401,928,202.83|207,437,611.97
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||11,301,478.06|179,500,894.64
流动资产合计||885,743,769.06|752,314,698.18
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资||31,425,255.23|5,725,134.06
其他权益工具投资|||
其他非流动金融资产||65,029,317.99|17,500,000.00
投资性房地产||1,650,956.00|1,820,819.60
page|78
固定资产||163,041,512.02|156,775,596.01
在建工程||140,743.72|
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||4,483,675.58|1,500,692.33
开发支出|||
商誉|||
长期待摊费用||12,390,460.54|9,731,458.85
递延所得税资产||4,622,405.10|7,048,471.34
其他非流动资产|||11,000,000.00
非流动资产合计||282,784,326.18|211,102,172.19
资产总计||1,168,528,095.24|963,416,870.37
流动负债：|||
短期借款||90,000,000.00|15,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||68,116,824.03|20,503,394.48
应付账款||127,461,565.06|63,804,070.17
预收款项|||8,421,960.78
合同负债||8,428,978.01|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||11,965,860.59|11,604,579.65
应交税费||2,434,555.85|2,183,412.51
其他应付款||19,780,191.49|33,503,970.02
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||3,668,000.00|3,668,000.00
其他流动负债||21,093,722.45|
流动负债合计||352,949,697.48|158,689,387.61
非流动负债：|||
保险合同准备金|||
长期借款||913,000.00|4,581,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
page|79
递延收益||1,700,000.00|1,200,000.00
递延所得税负债||1,257,329.50|
其他非流动负债|||
非流动负债合计||3,870,329.50|5,781,000.00
负债合计||356,820,026.98|164,470,387.61
所有者权益（或股东权益）：|||
实收资本（或股本）||200,861,320.00|202,395,699.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||304,151,254.68|317,495,911.21
减：库存股||17,360,691.69|30,342,977.02
其他综合收益|||
专项储备|||
盈余公积||36,331,828.14|30,363,352.28
一般风险准备|||
未分配利润||291,184,219.60|281,438,250.88
归属于母公司所有者权益（或股东权益）合计||815,167,930.73|801,350,236.35
少数股东权益||-3,459,862.47|-2,403,753.59
所有者权益（或股东权益）合计||811,708,068.26|798,946,482.76
负债和所有者权益（或股东权益）总计||1,168,528,095.24|963,416,870.37
