page|127
项目|附注|年末余额|年初余额
流动资产：|||
货币资金|五、1|11,791,424,734.63|7,734,948,210.26
交易性金融资产|五、2|850,165,448.59|-
应收票据|五、3|3,891,994.84|38,192,250.02
应收账款|五、4|1,372,650,236.16|1,356,460,129.90
应收款项融资|五、5|217,449,966.41|260,760,537.45
预付款项|五、6|49,220,850.11|55,034,019.81
其他应收款|五、7|3,557,195,461.26|2,129,378,252.50
存货|五、8|211,366,458.88|163,980,192.08
持有待售资产|五、9|337,442,757.28|188,404,228.34
一年内到期的非流动资产|五、10|67,692,473.44|808,893,013.06
其他流动资产|五、11|433,666,201.42|2,298,792,661.70
流动资产合计||18,892,166,583.02|15,034,843,495.12
非流动资产：|||
长期应收款|五、12|3,887,949,993.10|1,098,831,799.90
长期股权投资|五、13|66,231,923,423.45|57,916,539,383.26
其他权益工具投资|五、14|181,467,057.74|163,561,272.00
其他非流动金融资产|五、15|910,807,452.56|2,385,363,537.39
投资性房地产|五、16|5,558,755,275.21|5,760,262,674.40
固定资产|五、17|29,471,583,624.56|27,519,962,529.29
在建工程|五、18|5,381,430,606.18|6,334,141,441.88
使用权资产|五、19|9,087,215,717.60|9,633,325,390.46
无形资产|五、20|18,766,092,163.81|19,693,715,554.10
开发支出|五、21|64,237,735.23|37,399,092.28
商誉|五、22|6,675,939,930.13|8,023,659,694.81
长期待摊费用|五、23|874,842,472.68|711,911,011.67
递延所得税资产|五、24|420,731,058.30|300,435,502.27
其他非流动资产|五、25|2,138,468,683.64|2,082,965,467.04
非流动资产合计||149,651,445,194.19|141,662,074,350.75
资产总计||168,543,611,777.21|156,696,917,845.87
page|128
项目|附注|年末余额|年初余额
流动负债：|||
短期借款|五、26|10,483,775,548.93|9,439,099,793.47
应付票据|五、27|7,081,772.32|76,455,949.01
应付账款|五、28|599,112,028.98|591,112,466.39
预收款项|五、29|39,510,127.90|28,826,687.37
合同负债|五、30|148,044,541.70|85,831,002.52
应付职工薪酬|五、31|712,085,622.15|634,718,784.64
应交税费|五、32|2,368,662,556.37|1,898,076,342.74
其他应付款|五、33|2,456,700,897.60|2,223,754,677.96
一年内到期的非流动负债|五、34|3,564,465,137.37|6,104,339,856.79
其他流动负债|五、35|2,383,668,985.94|885,956,581.63
流动负债合计||22,763,107,219.26|21,968,172,142.52
非流动负债：|||
长期借款|五、36|7,406,322,693.80|6,313,735,540.33
应付债券|五、37|21,090,545,845.56|20,930,681,967.19
其中：优先股||-|-
永续债||-|-
租赁负债|五、38|1,327,423,748.05|1,647,129,968.61
长期应付款|五、39|1,228,461,573.69|1,935,245,003.21
长期应付职工薪酬|五、40|507,714,699.46|471,482,138.63
预计负债|五、41|100,406,745.66|76,242,559.95
递延收益|五、42|1,112,887,683.90|1,147,752,857.17
递延所得税负债|五、24|4,347,553,142.73|3,961,752,749.17
其他非流动负债|五、43|2,982,220,894.03|3,254,515,306.85
非流动负债合计||40,103,537,026.88|39,738,538,091.11
负债合计||62,866,644,246.14|61,706,710,233.63
股东权益|||
股本|五、44|1,922,365,124.00|1,922,365,124.00
资本公积|五、45|22,805,069,335.49|22,296,485,467.35
其他综合收益|五、46|-826,697,303.06|-355,944,565.91
专项储备|五、47|10,201,178.30|12,386,734.70
盈余公积|五、48|890,690,322.28|630,345,307.43
未分配利润|五、49|12,316,177,395.17|11,467,166,351.85
归属于母公司股东权益合计||37,117,806,052.18|35,972,804,419.42
少数股东权益||68,559,161,478.89|59,017,403,192.82
股东权益合计||105,676,967,531.07|94,990,207,612.24
负债及股东权益总计||168,543,611,777.21|156,696,917,845.87
