page|58
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|617,613,358.89|724,026,773.82
结算备付金|||
拆出资金|||
交易性金融资产|七、2|298,973,030.20|253,264,543.61
衍生金融资产|||
应收票据|七、4|224,923.44|
应收账款|七、5|68,153,050.86|72,569,906.25
应收款项融资|七、6|27,881,226.11|30,374,494.49
预付款项|七、7|15,866,745.25|17,312,103.23
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|630,520,969.93|646,145,704.13
其中：应收利息|七、8||113,023.29
应收股利|||
买入返售金融资产|||
存货|七、9|148,432,611.28|175,614,265.49
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|4,486,019.37|5,539,040.72
流动资产合计||1,812,151,935.33|1,924,846,831.74
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17||
其他权益工具投资|七、18|292,200,000.00|304,200,000.00
其他非流动金融资产|||
投资性房地产|七、20|20,948,516.79|21,461,254.50
固定资产|七、21|323,799,087.94|340,952,070.34
在建工程|七、22|9,598,428.18|1,172,572.35
生产性生物资产|||
page|59
油气资产|||
使用权资产|||
无形资产|七、26|81,196,236.25|82,995,784.35
开发支出|||
商誉|七、28|3,405,975.91|3,405,975.91
长期待摊费用|七、29|3,310,961.45|3,628,802.34
递延所得税资产|七、30|3,850,358.71|2,847,461.46
其他非流动资产|七、31|4,804,613.53|8,087,493.19
非流动资产合计||743,114,178.76|768,751,414.44
资产总计||2,555,266,114.09|2,693,598,246.18
流动负债：|||
短期借款|七、32|73,000,000.00|90,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|16,976,065.26|16,854,537.65
应付账款|七、36|142,840,687.27|163,597,164.97
预收款项|||82,691,152.77
合同负债|七、38|59,871,086.74|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|3,403,908.87|5,606,904.13
应交税费|七、40|7,354,668.33|4,985,410.14
其他应付款|七、41|36,284,458.31|187,670,886.41
其中：应付利息||77,695.86|454,208.33
应付股利||8,537,790.48|8,537,790.48
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|24,652,879.75|20,223,453.05
流动负债合计||364,383,754.53|571,629,509.12
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
page|60
租赁负债|||
长期应付款|||
长期应付职工薪酬|七、49|3,357,936.00|2,988,523.00
预计负债|||
递延收益|七、51|9,078,524.99|8,314,403.37
递延所得税负债||57,193,366.63|48,331,892.54
其他非流动负债|||
非流动负债合计||69,629,827.62|59,634,818.91
负债合计||434,013,582.15|631,264,328.03
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|550,000,000.00|550,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|1,184,901,870.95|1,184,901,870.95
减：库存股|||
其他综合收益|七、57|-8,825,807.26|-8,825,807.26
专项储备|||
盈余公积|七、59|245,652,148.24|245,652,148.24
一般风险准备|||
未分配利润|七、60|155,531,354.76|96,793,046.06
归属于母公司所有者权益（或股东权益）合计||2,127,259,566.69|2,068,521,257.99
少数股东权益||-6,007,034.75|-6,187,339.84
所有者权益（或股东权益）合计||2,121,252,531.94|2,062,333,918.15
负债和所有者权益（或股东权益）总计||2,555,266,114.09|2,693,598,246.18
