page|93
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|1,474,929,461.54|476,908,154.60
结算备付金||
拆出资金||
交易性金融资产|95,000,000.00|505,150,920.85
衍生金融资产||
应收票据||
应收账款|337,712,320.52|378,300,083.87
应收款项融资||
预付款项|31,610,188.75|32,135,803.34
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|16,557,840.39|1,982,018.54
其中：应收利息||
应收股利||
买入返售金融资产||
存货|632,164,172.43|366,108,599.00
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|63,681,010.88|23,373,680.37
流动资产合计|2,651,654,994.51|1,783,959,260.57
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
page|94
长期应收款||
长期股权投资|25,764,929.22|24,273,922.09
其他权益工具投资|57,842,240.00|
其他非流动金融资产|109,213,381.61|
投资性房地产||
固定资产|102,792,957.86|72,119,840.02
在建工程|12,410,117.34|
生产性生物资产||
油气资产||
使用权资产||
无形资产|61,947,739.41|5,120,601.61
开发支出||
商誉||
长期待摊费用|3,783,891.21|1,403,870.36
递延所得税资产|9,980,320.54|7,438,082.88
其他非流动资产|54,904,427.21|28,815,396.00
非流动资产合计|438,640,004.40|139,171,712.96
资产总计|3,090,294,998.91|1,923,130,973.53
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|223,546,797.79|130,190,261.00
预收款项||2,655,579.59
合同负债|19,391,301.91|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|32,276,507.13|23,238,274.81
应交税费|115,744,671.39|43,192,893.76
page|95
其他应付款|10,921,433.70|9,644,070.87
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|1,491,262.06|
流动负债合计|403,371,973.98|208,921,080.03
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|2,222,222.26|2,291,666.77
递延所得税负债|32,624,194.02|14,415,325.80
其他非流动负债||
非流动负债合计|34,846,416.28|16,706,992.57
负债合计|438,218,390.26|225,628,072.60
所有者权益：||
股本|180,000,000.00|100,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|859,506,527.91|939,506,527.91
减：库存股||
其他综合收益|-25,157,386.45|3,103,160.38
专项储备||
盈余公积|90,000,000.00|50,000,000.00
page|96
一般风险准备||
未分配利润|1,555,510,880.86|610,497,353.54
归属于母公司所有者权益合计|2,659,860,022.32|1,703,107,041.83
少数股东权益|-7,783,413.67|-5,604,140.90
所有者权益合计|2,652,076,608.65|1,697,502,900.93
负债和所有者权益总计|3,090,294,998.91|1,923,130,973.53
