page|77
项目|附注|2019 年度|2018 年度
一、营业总收入|59|2,827,311,231.86|1,920,350,961.60
其中：营业收入|59|2,827,311,231.86|1,920,350,961.60
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,312,416,678.50|1,583,439,028.54
其中：营业成本|59|874,520,212.27|639,201,549.04
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|17,255,611.67|10,847,806.59
销售费用|61|618,625,724.07|388,489,952.12
管理费用|62|387,719,593.76|276,160,343.96
研发费用|63|429,669,215.04|276,617,065.95
财务费用|64|-15,373,678.31|-7,877,689.12
page|78
其中：利息费用|64|4,817,625.00|446,136.94
利息收入|64|21,552,881.15|8,903,868.05
加：其他收益|65|31,829,793.59|12,654,714.09
投资收益（损失以“－”号填列）|66|115,300,830.95|273,397,795.86
其中：对联营企业和合营企业的投资收益|66|-2,028,657.43|8,443,971.71
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|68|125,087,159.81|
信用减值损失（损失以“-”号填列）|69|-6,509,312.03|
资产减值损失（损失以“-”号填列）|70|-7,452,181.13|-19,233,850.14
资产处置收益（损失以“－”号填列）|71|-190,628.21|24,910.27
三、营业利润（亏损以“－”号填列）||772,960,216.34|603,755,503.14
加：营业外收入|72|1,688,629.59|1,472,896.94
减：营业外支出|73|12,815,415.30|5,428,537.78
四、利润总额（亏损总额以“－”号填列）||761,833,430.63|599,799,862.30
减：所得税费用|74|71,625,987.39|27,186,350.58
五、净利润（净亏损以“－”号填列）||690,207,443.24|572,613,511.72
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||641,620,935.52|582,985,538.76
2.终止经营净利润（净亏损以“－”号填列）||48,586,507.72|-10,372,027.04
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||508,352,099.33|478,292,043.97
2.少数股东损益（净亏损以“-”号填列）||181,855,343.91|94,321,467.75
六、其他综合收益的税后净额|75|136,491.73|-160,054,087.32
（一）归属母公司所有者的其他综合收益的税后净额||130,204.08|-70,424,912.58
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|79
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||130,204.08|-70,424,912.58
（1）权益法下可转损益的其他综合收益||56,568.51|1,696.53
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-70,438,412.63
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||73,635.57|11,803.52
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||6,287.65|-89,629,174.74
七、综合收益总额||690,343,934.97|412,559,424.40
（一）归属于母公司所有者的综合收益总额||508,482,303.41|407,867,131.39
（二）归属于少数股东的综合收益总额||181,861,631.56|4,692,293.01
八、每股收益：|||
（一）基本每股收益(元/股)||0.40|0.37
（二）稀释每股收益(元/股)||0.40|0.37
