page|77
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|185,223,799.13|47,232,199.42
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|1,774,899.63|2,694,196.15
应收账款|38,766,742.11|30,254,024.31
应收款项融资|3,121,917.62|
预付款项|3,905,167.74|805,766.03
page|78
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|3,800,138.50|193,506,450.62
其中：应收利息|1,362,450.00|
应收股利||
买入返售金融资产||
存货|23,308,307.73|28,003,078.32
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|36,690.92|322,179.32
流动资产合计|259,937,663.38|302,817,894.17
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|96,622,030.67|102,802,993.69
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产||17,434.32
开发支出||
商誉||
长期待摊费用|401,762.37|838,126.53
递延所得税资产|4,368,011.52|4,658,037.74
其他非流动资产|102,100.00|485,154.86
非流动资产合计|101,493,904.56|108,801,747.14
page|79
资产总计|361,431,567.94|411,619,641.31
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|21,131,169.52|
应付账款|29,989,363.68|21,216,485.93
预收款项|245,281.00|589,359.35
合同负债|712,630.83|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|4,655,016.63|5,833,077.05
应交税费|508,859.48|378,835.98
其他应付款|3,089,623.17|4,149,161.17
其中：应付利息||64,069.18
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||8,760,000.00
其他流动负债|362,229.32|279,714.43
流动负债合计|60,694,173.63|41,206,633.91
非流动负债：||
保险合同准备金||
长期借款||32,740,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
page|80
长期应付职工薪酬||
预计负债||
递延收益|2,500,000.00|7,900,000.00
递延所得税负债||
其他非流动负债||
非流动负债合计|2,500,000.00|40,640,000.00
负债合计|63,194,173.63|81,846,633.91
所有者权益：||
股本|280,253,733.00|280,253,733.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,705,277,310.44|1,705,277,310.44
减：库存股||
其他综合收益||
专项储备||
盈余公积|15,914,923.20|15,914,923.20
一般风险准备||
未分配利润|-1,703,208,572.33|-1,671,672,959.24
归属于母公司所有者权益合计|298,237,394.31|329,773,007.40
少数股东权益||
所有者权益合计|298,237,394.31|329,773,007.40
负债和所有者权益总计|361,431,567.94|411,619,641.31
