page|47
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||966,107,781.64|1,111,369,766.19
收到的税费返还||103,332,572.60|121,483,967.68
收到其他与经营活动有关的现金||22,470,686.37|28,310,752.27
经营活动现金流入小计||1,091,911,040.61|1,261,164,486.14
购买商品、接受劳务支付的现金||951,621,293.93|1,134,772,623.96
支付给职工及为职工支付的现金||100,166,299.04|135,239,827.49
支付的各项税费||16,009,185.60|20,458,676.15
支付其他与经营活动有关的现金||41,209,766.71|36,820,071.36
经营活动现金流出小计||1,109,006,545.28|1,327,291,198.96
经营活动产生的现金流量净额||-17,095,504.67|-66,126,712.82
page|48
二、投资活动产生的现金流量：|||
收回投资收到的现金||671,972,249.74|220,646,325.39
取得投资收益收到的现金||8,396,071.15|8,075,152.05
处置固定资产、无形资产和其他长期资产收回的现金净额||24,636,277.19|40,053,982.00
投资活动现金流入小计||705,004,598.08|268,775,459.44
购建固定资产、无形资产和其他长期资产支付的现金||80,793,462.09|46,516,990.62
投资支付的现金||639,000,000.00|338,000,000.00
投资活动现金流出小计||719,793,462.09|384,516,990.62
投资活动产生的现金流量净额||-14,788,864.01|-115,741,531.18
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||8,000,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||170,000,000.00|25,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||178,000,000.00|25,000,000.00
偿还债务支付的现金||50,000,000.00|10,000,000.00
分配股利、利润或偿付利息支付的现金||3,834,266.30|1,448,713.29
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,030,000.00|
筹资活动现金流出小计||54,864,266.30|11,448,713.29
筹资活动产生的现金流量净额||123,135,733.70|13,551,286.71
四、汇率变动对现金及现金等价物的影响||-4,513,299.21|-1,591,473.18
五、现金及现金等价物净增加额||86,738,065.81|-169,908,430.47
加：期初现金及现金等价物余额||119,076,237.44|288,984,667.91
六、期末现金及现金等价物余额||205,814,303.25|119,076,237.44
