page|71
项目|2020 年度|2019 年度
一、营业总收入|1,505,485,852.54|1,463,360,308.85
其中：营业收入|1,505,485,852.54|1,463,360,308.85
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,390,217,300.43|1,356,078,057.72
其中：营业成本|995,825,446.37|986,184,632.75
page|72
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|8,097,499.28|6,509,563.00
销售费用|41,845,416.64|35,942,481.75
管理费用|68,072,828.12|77,814,133.71
研发费用|283,842,757.60|294,614,732.31
财务费用|-7,466,647.58|-44,987,485.80
其中：利息费用|2,228,694.15|1,551,213.31
利息收入|41,468,190.09|45,827,488.53
加：其他收益|41,774,624.18|45,802,588.25
投资收益（损失以“－”号填列）|3,475,288.81|10,901,667.32
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|94,785,654.82|
信用减值损失（损失以“-”号填列）|165,403.48|-1,342,027.65
资产减值损失（损失以“-”号填列）|-43,111,947.52|-30,590,654.17
资产处置收益（损失以“-”号填列）|6,194.69|
三、营业利润（亏损以“－”号填列）|212,363,770.57|132,053,824.88
加：营业外收入|161,686.87|157,227.85
减：营业外支出|141,797.21|437,903.24
四、利润总额（亏损总额以“－”号填列）|212,383,660.23|131,773,149.49
减：所得税费用|7,629,534.50|-607,565.36
五、净利润（净亏损以“－”号填列）|204,754,125.73|132,380,714.85
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|204,754,125.73|132,380,714.85
page|73
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|204,754,125.73|134,630,402.49
2.少数股东损益||-2,249,687.64
六、其他综合收益的税后净额|34,593,174.66|29,274,996.57
归属母公司所有者的其他综合收益的税后净额|34,593,174.66|29,274,996.57
（一）不能重分类进损益的其他综合收益|34,516,388.74|29,398,239.20
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|36,897,284.74|29,398,239.20
4.企业自身信用风险公允价值变动||
5.其他|-2,380,896.00|
（二）将重分类进损益的其他综合收益|76,785.92|-123,242.63
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|76,785.92|-123,242.63
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|239,347,300.39|161,655,711.42
归属于母公司所有者的综合收益总额|239,347,300.39|163,905,399.06
归属于少数股东的综合收益总额||-2,249,687.64
八、每股收益：||
（一）基本每股收益|0.620|0.410
（二）稀释每股收益|0.620|0.410
