page|99
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|187,741,472.41|110,298,117.49
结算备付金||
拆出资金||
交易性金融资产||72,488,908.33
衍生金融资产||
应收票据|79,857,856.94|17,474,416.80
应收账款|303,403,405.08|247,995,038.85
应收款项融资|24,332,021.30|18,825,094.99
预付款项|1,976,250.43|2,193,824.41
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|6,607,656.09|7,496,850.79
其中：应收利息||
应收股利||
买入返售金融资产||
存货|198,834,438.56|123,305,478.78
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|12,671,899.60|16,820,460.23
流动资产合计|815,425,000.41|616,898,190.67
非流动资产：||
发放贷款和垫款||
债权投资||
page|100
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产|58,762,560.84|
投资性房地产|566,037,042.65|274,802,193.69
固定资产|466,398,143.96|477,012,261.17
在建工程|1,850,242.83|263,760,139.37
生产性生物资产||
油气资产||
使用权资产||
无形资产|38,425,028.89|79,679,628.94
开发支出||
商誉||
长期待摊费用|8,356,089.26|159,673.32
递延所得税资产|23,452,140.71|15,991,154.87
其他非流动资产|1,013,284.00|7,005,658.52
非流动资产合计|1,164,294,533.14|1,118,410,709.88
资产总计|1,979,719,533.55|1,735,308,900.55
流动负债：||
短期借款|151,523,462.21|154,817,022.20
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|31,318,679.91|25,235,227.72
应付账款|271,991,082.44|162,850,336.72
预收款项|175,353.67|5,842,637.33
合同负债|4,712,311.33|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|28,839,829.34|35,801,226.54
page|101
应交税费|21,113,777.82|18,169,093.27
其他应付款|87,251,218.23|114,421,991.62
其中：应付利息||
应付股利|180,713.26|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|69,470,990.00|38,882,800.00
其他流动负债|5,426,578.36|
流动负债合计|671,823,283.31|556,020,335.40
非流动负债：||
保险合同准备金||
长期借款|43,548,576.60|81,923,206.33
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|20,405,014.64|25,415,312.99
递延收益|13,855,331.30|8,293,583.78
递延所得税负债||1,378,673.24
其他非流动负债||
非流动负债合计|77,808,922.54|117,010,776.34
负债合计|749,632,205.85|673,031,111.74
所有者权益：||
股本|197,931,800.00|198,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|513,576,948.36|501,220,104.45
减：库存股|17,888,349.79|27,746,327.77
其他综合收益|-3,726,961.33|684,381.27
专项储备||
page|102
盈余公积|51,954,639.51|38,959,795.32
一般风险准备||
未分配利润|488,239,250.95|351,159,835.54
归属于母公司所有者权益合计|1,230,087,327.70|1,062,277,788.81
少数股东权益||
所有者权益合计|1,230,087,327.70|1,062,277,788.81
负债和所有者权益总计|1,979,719,533.55|1,735,308,900.55
