page|148
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|6,594,786,789.98|5,499,601,030.64
结算备付金||
拆出资金||
交易性金融资产|47,242,339.07|7,730,268.92
衍生金融资产||
应收票据|340,421,386.71|1,865,165,499.50
应收账款|1,130,275,780.66|1,387,961,981.66
应收款项融资|1,632,388,702.83|
预付款项|30,105,373.40|25,270,406.37
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|145,705,978.26|97,241,894.80
其中：应收利息||9,510,208.63
应收股利||661,434.48
买入返售金融资产||
存货|1,715,354,951.43|1,460,910,189.06
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|198,353,464.98|63,604,031.96
流动资产合计|11,834,634,767.32|10,407,485,302.91
非流动资产：||
发放贷款和垫款||
债权投资||
page|149
其他债权投资||
长期应收款||
长期股权投资|76,982,822.38|88,556,511.70
其他权益工具投资||
其他非流动金融资产|548,148,931.34|45,000,000.00
投资性房地产|53,888,462.00|96,343,760.13
固定资产|2,391,859,440.31|2,180,572,946.87
在建工程|60,775,088.96|252,494,792.31
生产性生物资产||
油气资产||
使用权资产||
无形资产|936,851,520.65|933,248,463.84
开发支出|73,028,441.56|101,078,659.57
商誉||
长期待摊费用||
递延所得税资产|127,185,979.94|97,453,178.14
其他非流动资产||
非流动资产合计|4,268,720,687.14|3,794,748,312.56
资产总计|16,103,355,454.46|14,202,233,615.47
流动负债：||
短期借款|1,336,209,050.55|1,103,991,045.96
向中央银行借款||
拆入资金||
交易性金融负债|4,584,076.51|1,081,534.93
衍生金融负债||
应付票据|4,439,607,982.34|3,490,271,482.40
应付账款|2,851,999,684.30|2,343,116,374.58
预收款项||425,149,194.97
合同负债|522,550,891.28|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|290,321,776.05|196,507,174.68
page|150
应交税费|89,682,433.90|68,558,391.66
其他应付款|724,701,686.72|689,477,603.21
其中：应付利息||12,340,385.61
应付股利|4,466,628.25|3,579,491.94
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|407,825,150.74|1,708,193.90
其他流动负债|22,923,698.73|
流动负债合计|10,690,406,431.12|8,319,860,996.29
非流动负债：||
保险合同准备金||
长期借款|188,231,439.30|401,280,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|1,705,323.91|3,016,921.44
长期应付职工薪酬|10,571,526.69|13,774,110.61
预计负债|62,392,735.07|166,099,143.97
递延收益|177,377,450.12|179,970,971.92
递延所得税负债|10,575,582.33|6,256,759.14
其他非流动负债||
非流动负债合计|450,854,057.42|770,397,907.08
负债合计|11,141,260,488.54|9,090,258,903.37
所有者权益：||
股本|1,044,597,881.00|1,044,597,881.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,683,837,229.12|2,684,366,619.10
减：库存股|9,929,336.18|
其他综合收益|-21,451,084.17|-18,931,430.36
专项储备||
page|151
盈余公积|416,364,790.43|410,786,860.20
一般风险准备||
未分配利润|740,754,202.23|884,127,743.42
归属于母公司所有者权益合计|4,854,173,682.43|5,004,947,673.36
少数股东权益|107,921,283.49|107,027,038.74
所有者权益合计|4,962,094,965.92|5,111,974,712.10
负债和所有者权益总计|16,103,355,454.46|14,202,233,615.47
