page|119
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|9,978,712,068.75|9,705,273,411.12
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|362,431,786.22|323,867,654.39
收到其他与经营活动有关的现金|350,416,413.53|294,532,910.23
经营活动现金流入小计|10,691,560,268.50|10,323,673,975.74
购买商品、接受劳务支付的现金|4,457,512,326.17|4,156,928,109.80
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
page|120
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|1,306,539,969.16|1,318,158,748.33
支付的各项税费|707,055,750.77|802,857,503.78
支付其他与经营活动有关的现金|1,847,729,783.90|1,963,584,896.28
经营活动现金流出小计|8,318,837,830.00|8,241,529,258.19
经营活动产生的现金流量净额|2,372,722,438.50|2,082,144,717.55
二、投资活动产生的现金流量：||
收回投资收到的现金|9,439,873,960.82|6,783,709,258.13
取得投资收益收到的现金|172,790,260.94|186,083,065.14
处置固定资产、无形资产和其他长期资产收回的现金净额|29,827,451.55|20,547,738.09
处置子公司及其他营业单位收到的现金净额||64,664,317.71
收到其他与投资活动有关的现金|197,204,755.95|61,019,593.85
投资活动现金流入小计|9,839,696,429.26|7,116,023,972.92
购建固定资产、无形资产和其他长期资产支付的现金|1,231,163,980.58|1,433,483,754.63
投资支付的现金|10,125,370,265.13|7,001,500,772.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|243,431,817.67|40,270,800.40
投资活动现金流出小计|11,599,966,063.38|8,475,255,327.03
投资活动产生的现金流量净额|-1,760,269,634.12|-1,359,231,354.11
三、筹资活动产生的现金流量：||
吸收投资收到的现金|520,905,301.50|305,190,000.00
其中：子公司吸收少数股东投资收到的现金|520,905,301.50|305,190,000.00
取得借款收到的现金|12,247,185,910.64|10,119,564,852.57
收到其他与筹资活动有关的现金|1,825,196,005.71|750,834,565.23
筹资活动现金流入小计|14,593,287,217.85|11,175,589,417.80
偿还债务支付的现金|11,984,113,902.18|10,747,177,863.69
分配股利、利润或偿付利息支付的现金|1,163,092,462.41|1,134,711,943.27
其中：子公司支付给少数股东的股利、利润|220,005,853.53|168,253,126.81
支付其他与筹资活动有关的现金|1,685,653,377.36|921,455,955.88
筹资活动现金流出小计|14,832,859,741.95|12,803,345,762.84
筹资活动产生的现金流量净额|-239,572,524.10|-1,627,756,345.04
page|121
四、汇率变动对现金及现金等价物的影响|-30,125,739.65|10,058,314.08
五、现金及现金等价物净增加额|342,754,540.63|-894,784,667.52
加：期初现金及现金等价物余额|1,873,723,582.52|2,768,508,250.04
六、期末现金及现金等价物余额|2,216,478,123.15|1,873,723,582.52
