page|53
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|2,007,375,932.72|765,937,841.53
结算备付金||
拆出资金||
page|54
交易性金融资产||500,000,000.00
衍生金融资产||
应收票据||
应收账款|75,433,226.29|37,488,388.49
应收款项融资||
预付款项|354,693,186.05|346,490,621.47
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|87,004,715.53|70,351,173.62
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,291,479,399.29|1,173,016,575.09
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|50,949,349.76|65,339,989.04
流动资产合计|3,866,935,809.64|2,958,624,589.24
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|768,505,714.64|645,718,439.74
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|1,186,776,122.89|1,109,977,155.03
在建工程|895,311.18|55,383,211.52
生产性生物资产||
油气资产||
使用权资产||
无形资产|247,678,825.15|288,019,067.11
page|55
开发支出||
商誉||
长期待摊费用|37,841,831.89|28,115,793.20
递延所得税资产|8,968,168.24|6,267,295.09
其他非流动资产|3,182,468.64|15,652,217.20
非流动资产合计|2,253,848,442.63|2,149,133,178.89
资产总计|6,120,784,252.27|5,107,757,768.13
流动负债：||
短期借款|502,254,000.00|1,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||20,000,000.00
应付账款|1,227,195,001.31|1,231,240,007.95
预收款项||521,091,986.70
合同负债|653,271,688.19|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|58,781,939.37|66,991,606.57
应交税费|41,368,707.02|28,622,816.45
其他应付款|96,774,724.74|160,041,275.34
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|75,970,139.71|
流动负债合计|2,655,616,200.34|2,028,987,693.01
非流动负债：||
保险合同准备金||
page|56
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|20,300,000.00|20,300,000.00
递延所得税负债||
其他非流动负债||
非流动负债合计|20,300,000.00|20,300,000.00
负债合计|2,675,916,200.34|2,049,287,693.01
所有者权益：||
股本|1,360,000,000.00|1,360,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|43,743,156.96|43,743,156.96
减：库存股||
其他综合收益||
专项储备||
盈余公积|270,949,668.10|220,881,900.47
一般风险准备||
未分配利润|1,768,948,041.86|1,432,463,741.51
归属于母公司所有者权益合计|3,443,640,866.92|3,057,088,798.94
少数股东权益|1,227,185.01|1,381,276.18
所有者权益合计|3,444,868,051.93|3,058,470,075.12
负债和所有者权益总计|6,120,784,252.27|5,107,757,768.13
