page|88
项目|2020 年度|2019 年度
一、营业总收入|4,216,290,067.68|3,900,341,151.51
其中：营业收入|4,216,290,067.68|3,900,341,151.51
利息收入||
已赚保费||
page|89
手续费及佣金收入||
二、营业总成本|4,116,972,668.63|3,813,571,049.45
其中：营业成本|3,551,184,041.82|3,165,496,042.75
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|29,344,582.54|26,737,772.10
销售费用|134,471,655.10|196,041,133.67
管理费用|188,285,430.05|191,677,647.91
研发费用|137,227,261.53|137,138,400.98
财务费用|76,459,697.59|96,480,052.04
其中：利息费用|74,573,371.63|92,823,634.16
利息收入|3,779,680.28|4,798,140.96
加：其他收益|33,826,014.09|23,295,573.78
投资收益（损失以“－”号填列）||
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-6,688,145.81|-17,478,663.13
资产减值损失（损失以“-”号填列）|-4,266,751.54|
资产处置收益（损失以“-”号填列）|443,428.78|-1,120,390.16
page|90
三、营业利润（亏损以“－”号填列）|122,631,944.57|91,466,622.55
加：营业外收入|5,616,534.92|11,488,838.99
减：营业外支出|4,106,646.06|1,373,322.65
四、利润总额（亏损总额以“－”号填列）|124,141,833.43|101,582,138.89
减：所得税费用|18,361,924.29|7,340,593.07
五、净利润（净亏损以“－”号填列）|105,779,909.14|94,241,545.82
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|105,779,909.14|94,241,545.82
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|27,739,295.86|25,638,432.72
2.少数股东损益|78,040,613.28|68,603,113.10
六、其他综合收益的税后净额|3,433,064.15|
归属母公司所有者的其他综合收益的税后净额|1,098,974.71|
（一）不能重分类进损益的其他综合收益|1,098,974.71|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|1,098,974.71|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准||
page|91
备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额|2,334,089.44|
七、综合收益总额|109,212,973.29|94,241,545.82
归属于母公司所有者的综合收益总额|28,838,270.57|25,638,432.72
归属于少数股东的综合收益总额|80,374,702.72|68,603,113.10
八、每股收益：||
（一）基本每股收益|0.1201|0.1110
（二）稀释每股收益|0.1201|0.1110
