page|86
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|180,490,506.00|92,617,962.82
结算备付金||
拆出资金||
交易性金融资产|836,000,000.00|
衍生金融资产||
应收票据|3,736,368.60|2,077,500.00
应收账款|71,007,994.56|71,361,482.19
应收款项融资|2,476,520.00|
预付款项|583,768.03|504,227.53
应收保费||
应收分保账款||
page|87
应收分保合同准备金||
其他应收款|1,307,356.84|1,457,613.88
其中：应收利息||
应收股利||
买入返售金融资产||
存货|175,015,904.65|125,698,609.03
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|6,720,320.16|8,301,806.67
流动资产合计|1,277,338,738.84|302,019,202.12
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|254,842,574.93|258,448,408.26
在建工程|12,003,919.47|
生产性生物资产||
油气资产||
使用权资产||
无形资产|21,148,954.70|21,479,802.77
开发支出||
商誉||
长期待摊费用|3,975,769.79|4,261,300.25
递延所得税资产|2,383,839.40|2,647,654.96
其他非流动资产|6,113,880.85|207,175.00
非流动资产合计|300,468,939.14|287,044,341.24
资产总计|1,577,807,677.98|589,063,543.36
流动负债：||
page|88
短期借款||31,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|64,918,708.79|52,365,353.77
预收款项||14,430,659.91
合同负债|9,161,290.21|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|9,275,618.13|6,383,182.55
应交税费|1,277,580.66|2,153,781.98
其他应付款|3,550,063.71|3,095,601.51
其中：应付利息||44,015.00
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|4,337,412.59|
流动负债合计|92,520,674.09|109,428,579.72
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
page|89
递延收益|17,555,714.24|17,171,541.26
递延所得税负债|4,000,707.48|1,925,215.78
其他非流动负债||
非流动负债合计|21,556,421.72|19,096,757.04
负债合计|114,077,095.81|128,525,336.76
所有者权益：||
股本|100,000,000.00|75,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|887,746,632.63|
减：库存股||
其他综合收益||
专项储备||
盈余公积|49,556,008.85|37,056,008.85
一般风险准备||
未分配利润|424,312,316.92|346,340,843.65
归属于母公司所有者权益合计|1,461,614,958.40|458,396,852.50
少数股东权益|2,115,623.77|2,141,354.10
所有者权益合计|1,463,730,582.17|460,538,206.60
负债和所有者权益总计|1,577,807,677.98|589,063,543.36
