page|97
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,783,584,849.54|3,160,634,711.06
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|42,452,557.01|41,955,794.11
收到其他与经营活动有关的现金|125,960,328.68|127,216,513.85
经营活动现金流入小计|2,951,997,735.23|3,329,807,019.02
购买商品、接受劳务支付的现金|1,889,215,217.80|2,284,216,704.24
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
page|98
支付给职工以及为职工支付的现金|386,691,951.78|378,741,200.40
支付的各项税费|47,079,435.03|153,451,140.81
支付其他与经营活动有关的现金|283,985,419.96|299,531,358.54
经营活动现金流出小计|2,606,972,024.57|3,115,940,403.99
经营活动产生的现金流量净额|345,025,710.66|213,866,615.03
二、投资活动产生的现金流量：||
收回投资收到的现金|256,263,568.00|
取得投资收益收到的现金|580,743.30|5,777,217.69
处置固定资产、无形资产和其他长期资产收回的现金净额|25,000.00|534,768.12
处置子公司及其他营业单位收到的现金净额||209,844,519.81
收到其他与投资活动有关的现金|230,000,000.00|910,000,100.00
投资活动现金流入小计|486,869,311.30|1,126,156,605.62
购建固定资产、无形资产和其他长期资产支付的现金|19,375,366.83|15,721,028.17
投资支付的现金|20,000,000.00|
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|230,000,000.00|590,000,000.00
投资活动现金流出小计|269,375,366.83|605,721,028.17
投资活动产生的现金流量净额|217,493,944.47|520,435,577.45
三、筹资活动产生的现金流量：||
吸收投资收到的现金|8,632,713.02|148,985,052.98
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||956,400,000.00
收到其他与筹资活动有关的现金|332,689.57|46,426,805.84
筹资活动现金流入小计|8,965,402.59|1,151,811,858.82
偿还债务支付的现金|40,000,000.00|2,039,000,000.00
分配股利、利润或偿付利息支付的现金|136,535,291.50|63,383,062.53
其中：子公司支付给少数股东的股利、利润||
page|99
支付其他与筹资活动有关的现金|16,057,824.10|48,663,045.32
筹资活动现金流出小计|192,593,115.60|2,151,046,107.85
筹资活动产生的现金流量净额|-183,627,713.01|-999,234,249.03
四、汇率变动对现金及现金等价物的影响|-4,033,742.34|2,933,364.94
五、现金及现金等价物净增加额|374,858,199.78|-261,998,691.61
加：期初现金及现金等价物余额|986,081,260.87|1,248,079,952.48
六、期末现金及现金等价物余额|1,360,939,460.65|986,081,260.87
