page|86
项目|附注|2020 年度|2019 年度
一、营业总收入||797,315,988.92|893,288,017.43
其中：营业收入|七（61）|797,315,988.92|893,288,017.43
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||643,424,464.51|695,466,581.34
其中：营业成本|七（61）|541,779,079.29|587,331,358.16
利息支出|||
手续费及佣金支出|||
退保金|||
page|87
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七（62）|7,766,508.40|7,055,360.07
销售费用|七（63）|48,724,072.38|57,381,166.61
管理费用|七（64）|44,350,615.75|41,012,643.29
研发费用||0.00|0.00
财务费用|七（66）|804,188.69|2,686,053.21
其中：利息费用||3,006,296.31|3,061,422.53
利息收入||2,995,188.29|1,317,587.93
加：其他收益|七（67）|2,505,406.18|274,872.67
投资收益（损失以“－”号填列）|七（68）|2,715,856.85|3,701,767.47
其中：对联营企业和合营企业的投资收益||2,413,916.58|3,311,767.47
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七（70）|5,224.11|
信用减值损失（损失以“-”号填列）|七（71）|-2,639,543.58|-619,744.30
资产减值损失（损失以“-”号填列）|七（72）|-152,816.74|-621,804.77
资产处置收益（损失以“－”号填列）|七（73）|67,758.81|207,565.58
三、营业利润（亏损以“－”号填列）||156,393,410.04|200,764,092.74
加：营业外收入|七（74）|206,059.10|516,420.25
减：营业外支出|七（75）|2,037,868.53|2,617,366.65
四、利润总额（亏损总额以“－”号填列）||154,561,600.61|198,663,146.34
减：所得税费用|七（76）|25,337,636.64|30,579,747.23
五、净利润（净亏损以“－”号填列）||129,223,963.97|168,083,399.11
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||129,223,963.97|168,083,399.11
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||123,706,693.93|159,933,209.75
2.少数股东损益（净亏损以“-”号填列）||5,517,270.04|8,150,189.36
六、其他综合收益的税后净额||1,376,754.89|2,683,341.50
（一）归属母公司所有者的其他综||1,330,250.40|2,617,919.47
page|88
合收益的税后净额|||
1．不能重分类进损益的其他综合收益||1,330,250.40|2,617,919.47
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||1,330,250.40|2,617,919.47
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||46,504.49|65,422.03
七、综合收益总额||130,600,718.86|170,766,740.61
（一）归属于母公司所有者的综合收益总额||125,036,944.33|162,551,129.22
（二）归属于少数股东的综合收益总额||5,563,774.53|8,215,611.39
八、每股收益：|||
（一）基本每股收益(元/股)||0.9766|1.3328
（二）稀释每股收益(元/股)|||
