page|99
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||211,769,186.69|188,712,910.48
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|100
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||286,228.23|242,493.09
收到其他与经营活动有关的现金|七、78|31,076,992.08|8,353,699.35
经营活动现金流入小计||243,132,407.00|197,309,102.92
购买商品、接受劳务支付的现金||115,252,680.85|67,345,324.66
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||44,559,704.05|36,550,226.23
支付的各项税费||18,806,816.47|19,414,913.02
支付其他与经营活动有关的现金|七、78|27,924,340.54|24,250,313.40
经营活动现金流出小计||206,543,541.91|147,560,777.31
经营活动产生的现金流量净额||36,588,865.09|49,748,325.61
二、投资活动产生的现金流量：|||
收回投资收到的现金||479,800,000.00|5,000,000.00
取得投资收益收到的现金||3,701,233.66|
处置固定资产、无形资产和其他长期资产收回的现金净额||13,820.15|5,172.41
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||483,515,053.81|5,005,172.41
购建固定资产、无形资产和其他长期资产支付的现金||108,838,887.48|9,041,575.22
投资支付的现金||479,800,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
page|101
投资活动现金流出小计||588,638,887.48|9,041,575.22
投资活动产生的现金流量净额||-105,123,833.67|-4,036,402.81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||733,922,342.80|150,000,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||733,922,342.80|150,000,000.00
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||7,710,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、78|11,943,924.59|367,444.06
筹资活动现金流出小计||11,943,924.59|8,077,444.06
筹资活动产生的现金流量净额||721,978,418.21|141,922,555.94
四、汇率变动对现金及现金等价物的影响||-25,863.42|25,199.49
五、现金及现金等价物净增加额||653,417,586.21|187,659,678.23
加：期初现金及现金等价物余额||334,467,501.44|146,807,823.21
六、期末现金及现金等价物余额||987,885,087.65|334,467,501.44
