page|71
项目|2020 年度|2019 年度
一、营业总收入|671,281,713.76|712,049,274.06
其中：营业收入|671,281,713.76|712,049,274.06
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|549,596,595.96|591,838,216.35
其中：营业成本|505,095,610.39|541,247,520.93
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|2,799,724.01|2,970,176.83
销售费用|6,272,860.82|15,225,284.64
管理费用|17,898,332.63|17,897,642.15
研发费用|16,853,969.82|14,507,862.84
财务费用|676,098.29|-10,271.04
其中：利息费用||446,892.71
利息收入|670,474.29|271,691.17
加：其他收益|8,024,614.79|6,208,999.18
投资收益（损失以“－”号填列）|991,855.92|
其中：对联营企业和合营企业的投资收益||
page|72
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-783,249.93|-479,422.15
资产减值损失（损失以“-”号填列）||-120,163.37
资产处置收益（损失以“-”号填列）|-10,701.75|89,824.14
三、营业利润（亏损以“－”号填列）|129,907,636.83|125,910,295.51
加：营业外收入||
减：营业外支出|237,852.12|96,000.00
四、利润总额（亏损总额以“－”号填列）|129,669,784.71|125,814,295.51
减：所得税费用|25,278,161.74|25,155,962.54
五、净利润（净亏损以“－”号填列）|104,391,622.97|100,658,332.97
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|104,391,622.97|100,658,332.97
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|104,391,622.97|100,658,332.97
2.少数股东损益||
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的||
page|73
其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|104,391,622.97|100,658,332.97
归属于母公司所有者的综合收益总额|104,391,622.97|100,658,332.97
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|1.83|1.86
（二）稀释每股收益|1.83|1.86
