page|117
项目|2020 年度|2019 年度
一、营业总收入|8,782,479,676.66|5,825,294,498.85
其中：营业收入|8,782,479,676.66|5,825,294,498.85
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|7,342,874,917.47|5,170,054,896.17
其中：营业成本|3,118,412,590.44|2,106,212,556.97
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|136,287,990.38|94,579,046.73
销售费用|3,035,268,488.95|2,227,097,391.98
page|118
管理费用|400,353,504.09|352,371,532.89
研发费用|654,389,038.38|390,745,752.35
财务费用|-1,836,694.77|-951,384.75
其中：利息费用|10,962,064.35|5,272,917.12
利息收入|14,136,323.92|7,485,315.86
加：其他收益|47,089,670.41|30,769,547.24
投资收益（损失以“－”号填列）|24,372,318.13|28,082,847.84
其中：对联营企业和合营企业的投资收益|0.00|0.00
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|5,229,251.99|2,041,115.99
信用减值损失（损失以“-”号填列）|-20,245,965.08|-5,720,293.44
资产减值损失（损失以“-”号填列）|-58,153,675.44|
资产处置收益（损失以“-”号填列）|139,637.42|-237,433.08
三、营业利润（亏损以“－”号填列）|1,438,035,996.62|710,175,387.23
加：营业外收入|1,010,611.23|4,386,880.85
减：营业外支出|16,575,083.61|6,677,235.08
四、利润总额（亏损总额以“－”号填列）|1,422,471,524.24|707,885,033.00
减：所得税费用|207,540,863.65|104,841,349.20
五、净利润（净亏损以“－”号填列）|1,214,930,660.59|603,043,683.80
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|1,214,930,660.59|603,043,683.80
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|1,218,737,679.42|606,501,070.03
page|119
2.少数股东损益|-3,807,018.83|-3,457,386.23
六、其他综合收益的税后净额|-5,213,535.67|10,429.58
归属母公司所有者的其他综合收益的税后净额|-5,213,535.67|10,429.58
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-5,213,535.67|10,429.58
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|-5,213,535.67|10,429.58
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|1,209,717,124.92|603,054,113.38
归属于母公司所有者的综合收益总额|1,213,524,143.75|606,511,499.61
归属于少数股东的综合收益总额|-3,807,018.83|-3,457,386.23
八、每股收益：||
（一）基本每股收益|1.02|0.51
（二）稀释每股收益|1.02|0.51
