page|79
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|246,423,978.96|71,578,573.02
结算备付金||
拆出资金||
交易性金融资产|440,848,939.73|
衍生金融资产||
应收票据||
应收账款|15,828,133.12|10,263,531.69
应收款项融资||
预付款项|1,450,038.90|159,345.16
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|278,599.02|5,696,574.22
其中：应收利息|161,063.02|
应收股利||
买入返售金融资产||
存货|1,041,792.22|850,140.30
合同资产|1,641,866.00|
page|80
持有待售资产||
一年内到期的非流动资产||
其他流动资产|9,233,818.98|5,912,374.16
流动资产合计|716,747,166.93|94,460,538.55
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|1,808,274.96|1,841,255.16
其他权益工具投资||
其他非流动金融资产||
投资性房地产|4,747,936.67|4,995,328.54
固定资产|199,220,124.01|214,827,910.47
在建工程|102,952,128.01|67,936,747.91
生产性生物资产||
油气资产||
使用权资产||
无形资产|25,739,941.49|26,575,148.01
开发支出||
商誉||
长期待摊费用||
递延所得税资产|1,305,916.70|649,468.44
其他非流动资产|5,042,278.00|7,153,325.00
非流动资产合计|340,816,599.84|323,979,183.53
资产总计|1,057,563,766.77|418,439,722.08
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|23,594,831.71|17,722,264.72
page|81
预收款项||12,864,906.15
合同负债|13,730,717.50|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|11,885,868.43|8,637,143.74
应交税费|788,447.84|1,598,812.43
其他应付款|324,850.00|62,300.00
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|386,640.18|
流动负债合计|50,711,355.66|40,885,427.04
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|2,845,492.43|3,479,406.96
递延所得税负债||
其他非流动负债||
非流动负债合计|2,845,492.43|3,479,406.96
负债合计|53,556,848.09|44,364,834.00
所有者权益：||
股本|80,000,000.00|60,000,000.00
page|82
其他权益工具||
其中：优先股||
永续债||
资本公积|639,502,846.67|103,830,558.79
减：库存股||
其他综合收益||
专项储备||
盈余公积|34,045,593.56|26,719,379.46
一般风险准备||
未分配利润|250,458,478.45|183,524,949.83
归属于母公司所有者权益合计|1,004,006,918.68|374,074,888.08
少数股东权益||
所有者权益合计|1,004,006,918.68|374,074,888.08
负债和所有者权益总计|1,057,563,766.77|418,439,722.08
