page|123
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|769,574,718.29|751,411,071.26
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
page|124
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|55,197.45|596,381.06
收到其他与经营活动有关的现金|25,352,912.56|62,775,224.72
经营活动现金流入小计|794,982,828.30|814,782,677.04
购买商品、接受劳务支付的现金|342,195,002.15|272,846,668.00
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|289,638,579.91|345,926,250.56
支付的各项税费|27,946,103.50|59,096,133.33
支付其他与经营活动有关的现金|74,356,466.75|76,788,297.14
经营活动现金流出小计|734,136,152.31|754,657,349.03
经营活动产生的现金流量净额|60,846,675.99|60,125,328.01
二、投资活动产生的现金流量：||
收回投资收到的现金|1,568,900,000.00|975,003,077.59
取得投资收益收到的现金|12,047,614.01|10,467,630.04
page|125
处置固定资产、无形资产和其他长期资产收回的现金净额|2,390,612.00|193,656.48
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|1,583,338,226.01|985,664,364.11
购建固定资产、无形资产和其他长期资产支付的现金|124,416,458.31|84,787,516.76
投资支付的现金|2,131,611,240.00|828,540,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|29,205,122.44|
支付其他与投资活动有关的现金||37,185,210.10
投资活动现金流出小计|2,285,232,820.75|950,512,726.86
投资活动产生的现金流量净额|-701,894,594.74|35,151,637.25
三、筹资活动产生的现金流量：||
吸收投资收到的现金|424,688,100.00|
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|3,161,800.00|1,922,580.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|427,849,900.00|1,922,580.00
偿还债务支付的现金|808,156.08|895,922.28
分配股利、利润或偿付利息支付的现金|3,933,215.09|3,964,649.98
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|22,269,045.17|4,731,487.79
筹资活动现金流出小计|27,010,416.34|9,592,060.05
筹资活动产生的现金流量净额|400,839,483.66|-7,669,480.05
四、汇率变动对现金及现金等价物的影响|-240,664.45|26,676.26
五、现金及现金等价物净增加额|-240,449,099.54|87,634,161.47
page|126
加：期初现金及现金等价物余额|377,724,630.10|290,090,468.63
六、期末现金及现金等价物余额|137,275,530.56|377,724,630.10
