page|57
项目|附注|2020 年度|2019 年度
一、营业总收入||7,576,927,322.41|9,151,479,191.07
其中：营业收入|七、61|7,576,927,322.41|9,151,479,191.07
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||7,220,549,962.01|8,292,189,126.91
其中：营业成本|七、61|6,410,559,641.38|7,362,319,630.31
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|353,734,117.83|443,858,146.10
销售费用|七、63|26,324,653.89|70,342,332.87
管理费用|七、64|304,480,049.79|297,250,683.81
研发费用|七、65|176,405,587.64|204,843,142.26
财务费用|七、66|-50,954,088.52|-86,424,808.44
其中：利息费用||6,085,751.91|6,585,623.04
利息收入||83,381,371.74|99,217,404.87
加：其他收益|七、67|32,204,885.07|28,987,020.00
投资收益（损失以“－”号填列）|七、68|-16,329,615.16|-18,046,449.79
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填|||
page|58
列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、71|4,406,222.29|-33,738,606.93
资产减值损失（损失以“-”号填列）|七、72|-55,294,391.51|-38,141,661.76
资产处置收益（损失以“－”号填列）|七、73|-2,941,839.74|437,256.22
三、营业利润（亏损以“－”号填列）||318,422,621.35|798,787,621.90
加：营业外收入|七、74|1,962,178.62|671,490.09
减：营业外支出|七、75|14,760,327.66|14,111,774.60
四、利润总额（亏损总额以“－”号填列）||305,624,472.31|785,347,337.39
减：所得税费用|七、76|45,358,096.62|136,530,825.16
五、净利润（净亏损以“－”号填列）||260,266,375.69|648,816,512.23
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||260,266,375.69|648,816,512.23
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||182,010,747.64|568,927,501.46
2.少数股东损益（净亏损以“-”号填列）||78,255,628.05|79,889,010.77
六、其他综合收益的税后净额||-1,765,342.72|486,965.55
（一）归属母公司所有者的其他综合收益的税后净额||-1,412,274.18|389,572.44
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-1,412,274.18|389,572.44
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
page|59
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-1,412,274.18|389,572.44
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-353,068.54|97,393.11
七、综合收益总额||258,501,032.97|649,303,477.78
（一）归属于母公司所有者的综合收益总额||180,598,473.46|569,317,073.90
（二）归属于少数股东的综合收益总额||77,902,559.51|79,986,403.88
八、每股收益：|||
（一）基本每股收益(元/股)||0.06|0.18
（二）稀释每股收益(元/股)||0.06|0.18
