page|76
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||725,676,955.06|848,020,467.35
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||183,865.09|1,570,261.31
收到其他与经营活动有关的现金||65,773,923.27|61,999,936.96
经营活动现金流入小计||791,634,743.42|911,590,665.62
购买商品、接受劳务支付的现金||515,691,954.72|516,955,437.96
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||60,886,584.04|71,470,285.90
支付的各项税费||37,636,618.53|61,090,875.28
支付其他与经营活动有关的现金||58,908,626.84|68,300,618.94
经营活动现金流出小计||673,123,784.13|717,817,218.08
经营活动产生的现金流量净额||118,510,959.29|193,773,447.54
二、投资活动产生的现金流量：|||
page|77
收回投资收到的现金||3,493,676,179.16|1,407,260,000.00
取得投资收益收到的现金||20,919,459.92|8,639,112.98
处置固定资产、无形资产和其他长期资产收回的现金净额||15,000.00|3,918,565.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||13,616,255.00|8,184,970.00
投资活动现金流入小计||3,528,226,894.08|1,428,002,647.98
购建固定资产、无形资产和其他长期资产支付的现金||101,555,891.35|55,881,372.85
投资支付的现金||4,261,350,000.00|1,469,760,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||14,150.94|137,735.84
投资活动现金流出小计||4,362,920,042.29|1,525,779,108.69
投资活动产生的现金流量净额||-834,693,148.21|-97,776,460.71
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||863,280,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||50,000,000.00|21,500,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||913,280,000.00|21,500,000.00
偿还债务支付的现金||19,530,000.00|20,000,000.00
分配股利、利润或偿付利息支付的现金||1,032,605.00|694,220.62
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||83,043,283.01|2,712,264.16
筹资活动现金流出小计||103,605,888.01|23,406,484.78
筹资活动产生的现金流量净额||809,674,111.99|-1,906,484.78
四、汇率变动对现金及现金等价物的影响||-43,218.26|-55,759.72
五、现金及现金等价物净增加额||93,448,704.81|94,034,742.33
加：期初现金及现金等价物余额||303,529,595.57|209,494,853.24
六、期末现金及现金等价物余额||396,978,300.38|303,529,595.57
