page|125
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
资产：|||
货币资金|五、1|15,483,332,227.32|13,543,083,035.47
其中：客户存款||14,790,241,492.07|12,789,273,423.75
结算备付金|五、2|3,759,748,581.73|1,705,471,787.02
其中：客户备付金||2,765,086,409.56|790,557,470.17
融出资金|五、3|18,905,975,788.68|11,892,229,787.25
衍生金融资产|五、4|25,945,842.03|11,592,848.40
存出保证金|五、5|2,214,824,323.11|1,607,967,149.16
应收款项|五、6|729,317,081.32|182,110,002.21
买入返售金融资产|五、7|2,623,354,700.54|2,207,701,486.82
金融投资：|||
交易性金融资产|五、8|23,904,133,746.43|23,411,922,968.03
债权投资|五、9|98,846,263.53|445,230,941.18
其他债权投资|五、10|1,088,108,127.40|1,469,282,332.20
其他权益工具投资|五、11|172,050,208.23|46,233,332.74
长期股权投资|五、12|1,821,491,956.28|1,569,751,958.88
固定资产|五、13|165,649,525.95|172,982,617.01
无形资产|五、14|88,416,016.02|76,329,606.84
商誉|五、15|11,302,586.62|11,302,586.62
递延所得税资产|五、16|228,927,244.22|160,345,057.74
其他资产|五、17|891,457,965.19|582,055,438.93
资产总计||72,212,882,184.60|59,095,592,936.50
page|126
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
负债：|||
短期借款|五、19|119,040,434.93|-
应付短期融资款|五、20|5,455,441,936.79|2,538,969,873.18
拆入资金|五、21|500,320,833.33|1,305,834,444.43
交易性金融负债|五、22|39,659,600.00|870,246.58
衍生金融负债|五、4|48,304,970.07|21,519,107.22
卖出回购金融资产款|五、23|9,683,598,590.65|10,314,662,884.32
代理买卖证券款|五、24|18,770,614,211.99|14,659,437,925.88
应付职工薪酬|五、25|1,268,669,406.97|996,720,181.49
应交税费|五、26|175,050,410.35|111,490,874.30
应付款项|五、27|345,991,243.52|320,689,870.10
应付债券|五、28|16,968,472,593.49|11,115,521,584.40
递延所得税负债|五、16|17,194,056.76|9,554,405.84
其他负债|五、29|293,949,983.43|348,129,543.21
负债合计||53,686,308,272.28|41,743,400,940.95
股东权益：|||
股本|五、30|3,103,405,351.00|3,103,405,351.00
资本公积|五、31|9,220,082,218.87|9,220,082,218.87
其他综合收益|五、32|-45,638,921.48|-36,578,753.16
盈余公积|五、33|696,550,426.74|552,052,779.20
一般风险准备|五、34|2,133,348,779.19|1,843,819,279.84
未分配利润|五、35|2,967,954,128.83|2,236,633,720.09
归属于母公司股东权益合计||18,075,701,983.15|16,919,414,595.84
少数股东权益||450,871,929.17|432,777,399.71
股东权益合计||18,526,573,912.32|17,352,191,995.55
负债和股东权益总计||72,212,882,184.60|59,095,592,936.50
