page|87
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|620,643,667.28|695,716,158.83
page|88
结算备付金|||
拆出资金|||
交易性金融资产|七、2|115,138,910.52|115,802,496.96
衍生金融资产|||
应收票据|||
应收账款|七、5|524,634,202.95|537,186,199.60
应收款项融资|七、6|399,028,680.81|322,444,489.81
预付款项|七、7|17,698,685.75|20,034,181.49
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|22,423,637.40|5,350,024.05
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|192,150,891.97|197,190,652.88
合同资产|||
持有待售资产|七、11|115,003,796.67|
一年内到期的非流动资产|||
其他流动资产|七、13|9,857,743.35|19,506,900.18
流动资产合计||2,016,580,216.70|1,913,231,103.80
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|七、17|1,733,129,082.88|1,313,936,723.75
其他权益工具投资|七、18|105,829,403.04|81,014,395.38
其他非流动金融资产|七、19|48,142,424.00|44,311,328.00
投资性房地产|七、20|7,892,578.82|11,436,219.59
固定资产|七、21|367,698,305.62|370,256,518.24
在建工程|七、22|93,022,898.18|144,262,719.68
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|120,396,895.30|123,324,416.96
开发支出|||
商誉|||
长期待摊费用|七、29|1,920,636.37|4,481,380.39
递延所得税资产|七、30|7,506,582.63|4,822,718.88
其他非流动资产|七、31|81,601,019.24|82,156,049.32
非流动资产合计||2,567,139,826.08|2,180,002,470.19
资产总计||4,583,720,042.78|4,093,233,573.99
流动负债：|||
短期借款|七、32|1,292,493,821.55|1,050,023,530.67
向中央银行借款|||
拆入资金|||
page|89
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|76,826,526.02|129,874,723.10
应付账款|七、36|309,979,872.67|339,241,302.01
预收款项|七、37|122,374.02|5,384,212.25
合同负债|七、38|5,376,906.69|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|30,382,603.00|24,999,315.57
应交税费|七、40|24,277,677.71|50,439,551.00
其他应付款|七、41|96,056,386.62|51,336,849.60
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|300,000.00|
其他流动负债|七、44|279,801.35|
流动负债合计||1,836,095,969.63|1,651,299,484.20
非流动负债：|||
保险合同准备金|||
长期借款|七、45|93,284,021.50|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|4,646,134.19|
递延所得税负债|七、30|36,922,110.73|26,437,482.60
其他非流动负债|||
非流动负债合计||134,852,266.42|26,437,482.60
负债合计||1,970,948,236.05|1,677,736,966.80
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|585,987,500.00|585,987,500.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|692,007,198.93|685,903,214.93
减：库存股|||
其他综合收益|七、57|7,160,844.91|10,421,253.64
专项储备|||
盈余公积|七、59|84,511,054.77|62,619,127.53
一般风险准备|||
page|90
未分配利润|七、60|1,077,327,930.06|905,013,147.73
归属于母公司所有者权益（或股东权益）合计||2,446,994,528.67|2,249,944,243.83
少数股东权益||165,777,278.06|165,552,363.36
所有者权益（或股东权益）合计||2,612,771,806.73|2,415,496,607.19
负债和所有者权益（或股东权益）总计||4,583,720,042.78|4,093,233,573.99
