page|70
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||6,725,855,070.34|8,518,880,707.63
结算备付金|||
拆出资金|||
交易性金融资产|||170,000.00
衍生金融资产|||
应收票据|||
应收账款||165,987,823.37|264,207,950.70
应收款项融资||273,878,942.91|267,473,947.39
预付款项||313,245,589.61|573,557,048.43
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||37,972,228.47|30,326,195.11
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||2,864,952,157.93|2,717,057,290.21
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||193,440,252.00|372,996,666.05
流动资产合计||10,575,332,064.63|12,744,669,805.52
非流动资产：|||
发放贷款和垫款|||
债权投资|||
page|71
其他债权投资|||
长期应收款|||
长期股权投资||12,656,515,025.25|6,829,858,443.98
其他权益工具投资||13,900,000.00|
其他非流动金融资产||101,610,000.00|8,000,000.00
投资性房地产||47,725,944.04|33,061,233.04
固定资产||18,764,231,025.43|17,072,523,658.32
在建工程||2,297,553,483.27|1,716,741,311.94
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||1,597,914,793.64|1,501,907,191.24
开发支出|||
商誉|||
长期待摊费用||111,608.34|
递延所得税资产||234,444,688.88|45,243,024.36
其他非流动资产||699,356,781.45|48,938,971.72
非流动资产合计||36,413,363,350.30|27,256,273,834.60
资产总计||46,988,695,414.93|40,000,943,640.12
流动负债：|||
短期借款||7,637,098,608.47|8,247,245,876.45
向中央银行借款|||
拆入资金|||
交易性金融负债||4,398,000.00|410,000.00
衍生金融负债|||
应付票据||3,530,050,000.00|3,153,350,000.00
应付账款||2,993,530,372.78|3,104,348,867.44
预收款项||1,326,547.70|250,736,500.85
合同负债||425,073,129.34|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||166,872,570.37|146,681,765.88
应交税费||478,105,942.40|560,086,032.79
其他应付款||259,772,870.23|77,043,804.46
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||5,005,347.22|1,122,545,933.24
其他流动负债||658,255,688.21|307,607,049.79
流动负债合计||16,159,489,076.72|16,970,055,830.90
非流动负债：|||
保险合同准备金|||
长期借款||3,608,304,496.87|891,052,810.48
应付债券||1,176,290,425.97|2,944,071,840.11
page|72
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益||221,666,236.96|109,381,124.83
递延所得税负债||68,213,571.58|9,416,434.27
其他非流动负债|||
非流动负债合计||5,074,474,731.38|3,953,922,209.69
负债合计||21,233,963,808.10|20,923,978,040.59
所有者权益（或股东权益）：|||
实收资本（或股本）||2,196,984,974.00|1,847,930,806.00
其他权益工具||166,159,765.28|690,200,165.35
其中：优先股|||
永续债|||
资本公积||10,645,664,187.32|6,226,044,503.47
减：库存股|||
其他综合收益||5,665,130.22|-4,005,261.81
专项储备|||
盈余公积||1,001,583,225.59|841,777,608.55
一般风险准备|||
未分配利润||11,656,433,264.01|9,403,985,588.82
归属于母公司所有者权益（或股东权益）合计||25,672,490,546.42|19,005,933,410.38
少数股东权益||82,241,060.41|71,032,189.15
所有者权益（或股东权益）合计||25,754,731,606.83|19,076,965,599.53
负债和所有者权益（或股东权益）总计||46,988,695,414.93|40,000,943,640.12
