page|103
项目|附注|2020 年度|2019 年度
一、营业总收入|七.61|22,144,195,812.55|21,186,956,132.51
其中：营业收入||22,144,195,812.55|21,186,956,132.51
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||21,418,607,017.68|20,425,315,600.08
其中：营业成本|七.61|16,794,588,201.68|14,924,905,183.11
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七.62|559,615,623.13|523,279,927.97
销售费用|七.63|82,618,712.22|179,345,955.33
管理费用|七.64|947,440,782.76|775,903,762.04
研发费用|七.65|123,129,529.67|167,546,211.49
财务费用|七.66|2,911,214,168.22|3,854,334,560.14
其中：利息费用||3,239,028,549.56|3,815,899,189.70
利息收入||143,658,339.57|134,099,001.59
加：其他收益|七.67|14,271,965.22|58,364,814.08
投资收益（损失以“－”号填列）|七.68|4,716,801,136.47|-2,129,049.21
其中：对联营企业和合营企业的投资收益||-89,518,325.91|-62,132,220.42
以摊余成本计量的金融资产终止确认收益||-|-
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“－”号填列）||-|-
信用减值损失（损失以“-”号填列）|七.71|-251,324,573.04|55,715,456.22
资产减值损失（损失以“-”号填列）|七.72|-26,211,836.61|-
资产处置收益（损失以“－”号填列）|七.73|-4,739,915.47|-3,142,891.93
三、营业利润（亏损以“－”号填列）||5,174,385,571.44|870,448,861.59
加：营业外收入|七.74|66,900,022.71|7,350,219.88
减：营业外支出|七.75|276,788,089.76|58,863,078.02
四、利润总额（亏损总额以“－”号填列）||4,964,497,504.39|818,936,003.45
减：所得税费用|七.76|368,238,756.44|540,077,604.65
五、净利润（净亏损以“－”号填列）||4,596,258,747.95|278,858,398.80
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||4,596,258,747.95|278,858,398.80
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||4,484,669,792.13|140,175,491.10
2.少数股东损益（净亏损以“-”号填列）||111,588,955.82|138,682,907.70
page|104
六、其他综合收益的税后净额||-470,843,889.01|-105,469,135.51
（一）归属母公司所有者的其他综合收益的税后净额||-470,586,235.73|-108,338,953.80
1．不能重分类进损益的其他综合收益||-263,336,110.96|-80,405,088.21
（1）重新计量设定受益计划变动额||-|-
（2）权益法下不能转损益的其他综合收益||-|-
（3）其他权益工具投资公允价值变动||-263,336,110.96|-80,405,088.21
（4）企业自身信用风险公允价值变动||-|-
2．将重分类进损益的其他综合收益||-207,250,124.77|-27,933,865.59
（1）权益法下可转损益的其他综合收益||-210,679,126.63|-38,132,981.73
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-|-
（6）外币财务报表折算差额||3,429,001.86|10,199,116.14
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-257,653.28|2,869,818.29
七、综合收益总额||4,125,414,858.94|173,389,263.29
（一）归属于母公司所有者的综合收益总额||4,014,083,556.40|31,836,537.30
（二）归属于少数股东的综合收益总额||111,331,302.54|141,552,725.99
八、每股收益：|||
（一）基本每股收益(元/股)||0.2019|0.0063
（二）稀释每股收益(元/股)||0.2019|0.0063
