page|82
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,429,519,502.66|3,932,234,012.66
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||205,974.62|1,399,896.84
收到其他与经营活动有关的现金||318,228,235.33|329,221,725.16
经营活动现金流入小计||4,747,953,712.61|4,262,855,634.66
购买商品、接受劳务支付的现金||3,115,247,569.63|3,052,317,425.92
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||522,669,383.63|537,970,452.79
page|83
支付的各项税费||69,129,604.10|118,273,058.09
支付其他与经营活动有关的现金||384,595,087.71|298,231,383.30
经营活动现金流出小计||4,091,641,645.07|4,006,792,320.10
经营活动产生的现金流量净额||656,312,067.54|256,063,314.56
二、投资活动产生的现金流量：|||
收回投资收到的现金||10,784,000.00|6,440,000.00
取得投资收益收到的现金||60,883,226.17|27,250,537.72
处置固定资产、无形资产和其他长期资产收回的现金净额||404,692.55|122,692,582.36
处置子公司及其他营业单位收到的现金净额|||404,395,188.15
收到其他与投资活动有关的现金||1,624,840,237.83|1,391,013,813.68
投资活动现金流入小计||1,696,912,156.55|1,951,792,121.91
购建固定资产、无形资产和其他长期资产支付的现金||100,018,227.05|180,938,918.78
投资支付的现金||22,802.00|1,243,600.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||922,500,000.00|1,668,938,238.40
投资活动现金流出小计||1,022,541,029.05|1,851,120,757.18
投资活动产生的现金流量净额||674,371,127.50|100,671,364.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||18,856,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,363,767,120.00|1,700,890,600.00
收到其他与筹资活动有关的现金||32,749,550.62|132,207,752.00
筹资活动现金流入小计||1,415,372,670.62|1,833,098,352.00
偿还债务支付的现金||2,503,000,000.00|1,780,000,000.00
分配股利、利润或偿付利息支付的现金||180,137,860.61|184,370,544.30
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,818,266.51|
筹资活动现金流出小计||2,684,956,127.12|1,964,370,544.30
筹资活动产生的现金流量净额||-1,269,583,456.50|-131,272,192.30
四、汇率变动对现金及现金等价物的影响||-1,319,341.07|851,332.75
五、现金及现金等价物净增加额||59,780,397.47|226,313,819.74
加：期初现金及现金等价物余||1,276,556,028.71|1,050,242,208.97
page|84
额|||
六、期末现金及现金等价物余额||1,336,336,426.18|1,276,556,028.71
