page|136
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|461,477,601.92|448,605,195.96
结算备付金||
拆出资金||
交易性金融资产|814,729,946.60|846,800,000.00
page|137
衍生金融资产||
应收票据|185,163,581.19|74,941,714.04
应收账款|511,590,357.27|506,120,793.25
应收款项融资|48,622,460.21|83,354,887.76
预付款项|12,699,436.03|8,201,299.42
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|125,037,967.40|15,036,697.21
其中：应收利息||
应收股利||
买入返售金融资产||
存货|358,776,782.30|449,651,884.07
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|51,097,278.74|23,907,931.34
流动资产合计|2,569,195,411.66|2,456,620,403.05
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|1,000,000.00|1,000,000.00
其他非流动金融资产||
投资性房地产||
固定资产|359,411,179.62|360,778,168.07
在建工程|134,932,308.40|74,441,269.91
生产性生物资产||
油气资产||
page|138
使用权资产||
无形资产|124,697,780.68|128,033,812.53
开发支出||
商誉||
长期待摊费用|13,014,066.56|13,854,351.46
递延所得税资产|26,651,103.93|21,838,681.92
其他非流动资产|9,903,716.89|10,111,328.94
非流动资产合计|669,610,156.08|610,057,612.83
资产总计|3,238,805,567.74|3,066,678,015.88
流动负债：||
短期借款|400,000.00|60,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|158,105,844.21|121,036,727.25
应付账款|478,119,789.38|485,315,062.69
预收款项||24,613,255.54
合同负债|29,120,741.60|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|53,481,650.15|41,999,923.46
应交税费|37,055,699.48|20,898,769.87
其他应付款|29,161,001.91|31,348,480.55
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|139
一年内到期的非流动负债||
其他流动负债|6,399,281.98|
流动负债合计|791,844,008.71|785,212,219.36
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|36,087,597.26|23,808,578.91
递延所得税负债|14,214,019.81|12,800,880.74
其他非流动负债||
非流动负债合计|50,301,617.07|36,609,459.65
负债合计|842,145,625.78|821,821,679.01
所有者权益：||
股本|280,000,000.00|280,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,208,259,144.13|1,208,259,144.13
减：库存股|54,932,987.52|54,932,987.52
其他综合收益||
专项储备||
盈余公积|169,029,477.65|146,911,334.22
一般风险准备||
未分配利润|794,304,307.70|664,618,846.04
归属于母公司所有者权益合计|2,396,659,941.96|2,244,856,336.87
page|140
少数股东权益||
所有者权益合计|2,396,659,941.96|2,244,856,336.87
负债和所有者权益总计|3,238,805,567.74|3,066,678,015.88
