page|101
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|905,282,551.82|616,227,755.69
结算备付金||
拆出资金||
交易性金融资产|26,559,716.61|102,616,310.77
衍生金融资产||
应收票据|199,559.85|1,808,810.48
应收账款|159,526,016.32|86,491,194.16
应收款项融资|140,000.00|
预付款项|25,499,203.83|13,711,987.31
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|48,104,859.96|9,601,227.05
其中：应收利息||
应收股利||
买入返售金融资产||
存货|526,211,027.37|191,954,641.17
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|23,891,708.69|41,189,448.92
流动资产合计|1,715,414,644.45|1,063,601,375.55
非流动资产：||
发放贷款和垫款||
债权投资||
page|102
其他债权投资||
长期应收款||
长期股权投资|43,142,269.26|36,539,011.96
其他权益工具投资||
其他非流动金融资产||
投资性房地产||1,169,902.20
固定资产|418,692,116.59|312,938,848.17
在建工程|483,649,013.50|7,113,770.56
生产性生物资产||
油气资产||
使用权资产||
无形资产|103,277,221.06|54,839,065.71
开发支出||
商誉||
长期待摊费用|23,229,448.28|9,061,221.05
递延所得税资产|37,695,995.00|9,446,451.90
其他非流动资产|42,233,319.51|8,415,199.29
非流动资产合计|1,151,919,383.20|439,523,470.84
资产总计|2,867,334,027.65|1,503,124,846.39
流动负债：||
短期借款|712,507,330.00|403,902,772.67
向中央银行借款||
拆入资金||
交易性金融负债||1,740,155.90
衍生金融负债||
应付票据|117,857,910.99|50,176,337.28
应付账款|462,947,254.21|154,285,387.81
预收款项|1,294,886.70|44,563,924.85
合同负债|54,074,256.82|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|45,312,180.04|24,114,662.77
page|103
应交税费|49,379,179.94|9,578,183.19
其他应付款|10,137,194.76|14,880,031.96
其中：应付利息||245,444.34
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|19,574,700.00|
其他流动负债|682,379.23|
流动负债合计|1,473,767,272.69|703,241,456.43
非流动负债：||
保险合同准备金||
长期借款|254,275,353.00|
应付债券|95,231,977.66|
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|3,604,324.05|2,395,456.09
递延所得税负债|18,816,168.14|2,558,146.26
其他非流动负债||
非流动负债合计|371,927,822.85|4,953,602.35
负债合计|1,845,695,095.54|708,195,058.78
所有者权益：||
股本|138,896,080.00|87,230,830.00
其他权益工具|37,681,070.11|
其中：优先股||
永续债||
资本公积|305,459,412.26|342,481,198.28
减：库存股|4,883,958.00|11,123,820.00
其他综合收益|-35,582,914.35|769,429.40
专项储备||
page|104
盈余公积|60,321,936.94|46,502,260.01
一般风险准备||
未分配利润|519,327,702.60|328,698,896.44
归属于母公司所有者权益合计|1,021,219,329.56|794,558,794.13
少数股东权益|419,602.55|370,993.48
所有者权益合计|1,021,638,932.11|794,929,787.61
负债和所有者权益总计|2,867,334,027.65|1,503,124,846.39
