page|88
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|671,563,795.22|905,979,827.25
结算备付金||
拆出资金||
交易性金融资产|52,769,262.18|129,376.45
衍生金融资产||
应收票据|1,011,599,199.01|1,311,469,228.37
应收账款|570,212,067.44|722,567,525.65
应收款项融资||
预付款项|16,954,895.96|26,693,922.80
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|14,851,383.63|34,180,190.76
其中：应收利息|934,289.10|2,044,394.51
应收股利||
买入返售金融资产||
存货|909,448,950.75|959,473,637.66
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|45,803.42|49,779,145.30
流动资产合计|3,247,445,357.61|4,010,272,854.24
非流动资产：||
发放贷款和垫款||
债权投资||
page|89
其他债权投资||
长期应收款||
长期股权投资|15,480,057.29|
其他权益工具投资|11,059,860.92|14,370,063.56
其他非流动金融资产||
投资性房地产||
固定资产|2,174,773,082.69|2,376,766,587.42
在建工程|16,804,378.61|68,205,029.25
生产性生物资产||
油气资产||
使用权资产||
无形资产|92,957,290.22|85,182,740.16
开发支出||
商誉||
长期待摊费用|16,559,165.98|15,118,489.22
递延所得税资产|42,106,663.90|17,036,383.97
其他非流动资产|106,387,730.93|45,500,000.00
非流动资产合计|2,476,128,230.54|2,622,179,293.58
资产总计|5,723,573,588.15|6,632,452,147.82
流动负债：||
短期借款||115,800,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|887,895,920.09|1,443,115,622.71
应付账款|815,189,007.08|1,075,306,287.31
预收款项||49,196,328.98
合同负债|63,814,149.47|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|44,791,691.05|59,275,487.11
page|90
应交税费|15,290,980.17|4,353,700.99
其他应付款|22,982,598.36|31,869,050.50
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|1,664,092.29|
流动负债合计|1,851,628,438.51|2,778,916,477.60
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|135,871,725.49|134,855,776.01
递延所得税负债|83,243,585.71|71,165,943.89
其他非流动负债|99,727,401.83|
非流动负债合计|318,842,713.03|206,021,719.90
负债合计|2,170,471,151.54|2,984,938,197.50
所有者权益：||
股本|618,477,169.00|618,477,169.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,481,165,594.96|1,473,542,994.96
减：库存股||
其他综合收益|-500,524.10|-7,646,303.23
专项储备||
page|91
盈余公积|266,900,657.19|263,744,812.77
一般风险准备||
未分配利润|1,213,462,126.54|1,311,211,920.73
归属于母公司所有者权益合计|3,579,505,023.59|3,659,330,594.23
少数股东权益|-26,402,586.98|-11,816,643.91
所有者权益合计|3,553,102,436.61|3,647,513,950.32
负债和所有者权益总计|5,723,573,588.15|6,632,452,147.82
