page|109
项目|附注|2020 年度|2019 年度
一、营业总收入||1,590,152,353.41|1,371,124,665.82
其中：营业收入|七、61|1,590,152,353.41|1,371,124,665.82
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,314,715,293.20|1,160,981,678.71
其中：营业成本|七、61|1,043,951,458.34|886,913,779.66
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|10,790,892.21|9,330,880.41
销售费用|七、63|140,567,697.35|171,827,239.22
管理费用|七、64|59,426,230.85|53,538,540.07
研发费用|七、65|56,882,265.18|41,960,236.62
财务费用|七、66|3,096,749.27|-2,588,997.27
其中：利息费用||946,306.92|31,038.44
利息收入||2,080,430.21|1,778,716.64
加：其他收益|七、67|37,135,318.80|30,256,609.75
投资收益（损失以“－”号填列）|七、68|13,117,406.45|9,685,932.22
其中：对联营企业和合营企业的投资收益||128,858.05|123,302.44
以摊余成本计量的金融资产终止确认收益|||
page|110
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|1,888,315.42|
信用减值损失（损失以“-”号填列）|七、71|-19,887,934.27|-13,688,618.03
资产减值损失（损失以“-”号填列）|七、72|-2,099,790.42|-485,962.17
资产处置收益（损失以“－”号填列）|七、73|-15,255.40|-9,046.72
三、营业利润（亏损以“－”号填列）||305,575,120.79|235,901,902.16
加：营业外收入|七、74|11,304,244.04|10,577,579.34
减：营业外支出|七、75|1,457,825.91|253,772.67
四、利润总额（亏损总额以“－”号填列）||315,421,538.92|246,225,708.83
减：所得税费用|七、76|42,726,044.48|33,896,362.94
五、净利润（净亏损以“－”号填列）||272,695,494.44|212,329,345.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||272,695,494.44|212,329,345.89
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||273,091,001.84|212,296,685.71
2.少数股东损益（净亏损以“-”号填列）||-395,507.40|32,660.18
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
page|111
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||272,695,494.44|212,329,345.89
（一）归属于母公司所有者的综合收益总额||273,091,001.84|212,296,685.71
（二）归属于少数股东的综合收益总额||-395,507.40|32,660.18
八、每股收益：|||
（一）基本每股收益(元/股)||1.34|1.06
（二）稀释每股收益(元/股)||1.34|1.06
