page|169
||本集团||本公司|
||2020 年|2019 年|2020 年|2019 年
|附注|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
资产|||||
货币资金|五 1|17,221,704,814|15,734,010,625|11,821,294,115|11,413,358,584
其中：客户存款||10,752,989,736|8,460,155,123|6,937,640,375|5,722,482,254
结算备付金|五 2|5,212,171,280|2,620,361,716|5,202,054,905|2,579,273,485
其中：客户备付金||1,377,001,845|1,281,863,152|1,251,334,259|1,105,580,728
融出资金|五 3|7,237,799,738|5,468,405,079|7,022,592,569|5,185,923,202
衍生金融资产|五 4|25,399,386|18,351,897|7,047,489|-
买入返售金融资产|五 5|2,909,890,823|2,742,426,644|2,510,436,285|2,191,408,463
应收款项|五 6,十七 1|110,334,334|100,204,889|54,320,316|54,876,044
存出保证金|五 7|3,266,499,930|2,940,672,900|1,145,198,241|1,266,202,443
金融投资：||24,482,913,220|23,685,130,840|21,374,768,855|21,662,843,157
交易性金融资产|五 8|22,521,225,349|22,247,491,671|19,466,907,374|20,325,501,850
债权投资|五 9|50,144,943|32,520,311|34,314,029|-
其他债权投资|五 10|1,693,438,010|1,165,745,108|1,693,438,010|1,152,414,175
其他权益工具投资|五 11|218,104,918|239,373,750|180,109,442|184,927,132
长期股权投资|七 3,十七 2|295,210,881|421,754,695|5,198,519,948|4,192,380,851
固定资产|五 12|376,978,614|384,302,724|334,978,570|336,689,202
无形资产|五 13|143,246,203|117,553,798|136,110,295|107,883,971
商誉|五 14|476,939,901|476,939,901|49,096,844|49,096,844
递延所得税资产|五 16|191,483,677|174,961,762|82,399,293|96,304,212
其他资产|五 15,十七 3|501,476,023|810,699,711|1,296,650,477|852,556,989
资产总计||62,452,048,824|55,695,777,181|56,235,468,202|49,988,797,447
page|170
||本集团||本公司|
||2020 年|2019 年|2020 年|2019 年
|附注|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债及股东权益|||||
负债|||||
短期借款|五 18|224,453,083|183,832,245|-|-
应付短期融资款|五 19|5,520,485,844|4,323,301,803|5,344,091,022|4,323,301,803
拆入资金|五 20|10,022,257,097|5,511,784,061|10,022,257,097|5,511,784,061
交易性金融负债|五 21|730,528,365|2,132,321,710|730,528,365|2,132,321,710
衍生金融负债|五 4|20,883,097|19,615,860|-|1,263,963
卖出回购金融资产款|五 22|6,799,897,076|12,200,643,294|6,799,897,076|12,087,837,182
代理买卖证券款|五 23|12,817,075,071|10,149,086,367|8,079,837,113|6,729,037,782
应付职工薪酬|五 24|220,586,623|150,267,996|89,439,290|44,615,292
应交税费|五 25|142,252,957|93,071,311|109,971,858|63,553,870
应付款项|五 26|90,780,258|25,186,640|76,044,210|12,619,705
应付债券|五 27|7,654,291,213|6,251,917,663|7,646,442,689|6,246,181,664
递延所得税负债|五 16|6,421,703|33,049,056|-|-
其他负债|五 28|750,692,966|1,405,958,569|320,250,340|292,462,758
负债合计||45,000,605,353|42,480,036,575|39,218,759,060|37,444,979,790
||-----------------|-----------------|-----------------|-----------------
page|171
||本集团||本公司|
||2020 年|2019 年|2020 年|2019 年
|附注|12 月 31 日|12 月 31 日|12 月 31 日|12 月 31 日
负债及股东权益  (续)|||||
股东权益|||||
股本|五 29|3,589,771,547|2,828,725,153|3,589,771,547|2,828,725,153
资本公积|五 30|9,723,419,390|6,713,296,178|9,688,853,085|6,692,880,816
其他综合收益|五 31|(41,830,649)|(54,799,201)|(40,993,307)|(102,823,892)
盈余公积|五 32|650,431,550|556,740,074|650,431,550|556,740,074
一般风险准备|五 33|730,222,510|628,719,120|659,896,752|565,756,468
交易风险准备|五 33|696,137,095|599,220,321|659,896,752|565,756,468
未分配利润|五 34|1,557,284,480|1,382,574,910|1,808,852,763|1,436,782,570
归属于母公司股东权益合计||16,905,435,923|12,654,476,555|17,016,709,142|12,543,817,657
少数股东权益|五 35|546,007,548|561,264,051|不适用|不适用
股东权益合计||17,451,443,471|13,215,740,606|17,016,709,142|12,543,817,657
||-----------------|-----------------|-----------------|-----------------
负债及股东权益总计||62,452,048,824|55,695,777,181|56,235,468,202|49,988,797,447
