page|82
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|813,331,739.43|578,634,786.63
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
page|83
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|10,786,149.44|4,466,222.86
收到其他与经营活动有关的现金|15,969,967.86|33,768,663.16
经营活动现金流入小计|840,087,856.73|616,869,672.65
购买商品、接受劳务支付的现金|535,373,867.48|302,138,684.01
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|112,997,416.23|95,307,490.67
支付的各项税费|31,464,944.21|33,423,849.94
支付其他与经营活动有关的现金|23,030,092.99|24,851,166.24
经营活动现金流出小计|702,866,320.91|455,721,190.86
经营活动产生的现金流量净额|137,221,535.82|161,148,481.79
二、投资活动产生的现金流量：||
收回投资收到的现金|54,650,000.00|355,770,000.00
取得投资收益收到的现金|237,121.10|2,438,895.85
处置固定资产、无形资产和其他长期资产收回的现金净额|70,083.22|711,823.46
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|54,957,204.32|358,920,719.31
page|84
购建固定资产、无形资产和其他长期资产支付的现金|24,286,792.88|16,260,021.54
投资支付的现金|54,650,000.00|345,770,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|78,936,792.88|362,030,021.54
投资活动产生的现金流量净额|-23,979,588.56|-3,109,302.23
三、筹资活动产生的现金流量：||
吸收投资收到的现金|571,421,698.11|
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||
收到其他与筹资活动有关的现金||266,500.00
筹资活动现金流入小计|571,421,698.11|266,500.00
偿还债务支付的现金||10,000,000.00
分配股利、利润或偿付利息支付的现金|92,064,000.00|66,497,070.37
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|2,631,798.11|1,839,622.63
筹资活动现金流出小计|94,695,798.11|78,336,693.00
筹资活动产生的现金流量净额|476,725,900.00|-78,070,193.00
四、汇率变动对现金及现金等价物的影响|-4,826,938.95|-3,782,148.17
五、现金及现金等价物净增加额|585,140,908.31|76,186,838.39
加：期初现金及现金等价物余额|174,063,779.96|97,876,941.57
六、期末现金及现金等价物余额|759,204,688.27|174,063,779.96
