page|69
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|800,692,649.90|222,970,983.05
结算备付金|||
拆出资金|||
交易性金融资产|七、2|259,046,945.21|
衍生金融资产|||
应收票据|||
应收账款|七、5|5,646,935.86|8,466,571.61
应收款项融资|||
预付款项|七、7|27,397,974.00|26,324,184.45
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|2,928,291.21|3,048,525.57
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|49,966,380.02|102,763,726.34
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|16,996,251.47|13,346,840.34
流动资产合计||1,162,675,427.67|376,920,831.36
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|138,183,902.37|146,818,137.09
在建工程|七、22|69,390,605.79|39,723,512.05
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|349,161,055.79|375,910,138.52
开发支出|||
商誉|||
长期待摊费用|七、29|225,516,910.72|55,651,057.71
递延所得税资产|七、30|359,756.36|191,612.91
其他非流动资产|七、31|25,284,888.72|22,590,361.15
非流动资产合计||807,897,119.75|640,884,819.43
资产总计||1,970,572,547.42|1,017,805,650.79
流动负债：|||
短期借款|七、32||141,240,000.00
page|70
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|15,900,000.00|
应付账款|七、36|7,201,187.05|10,933,128.04
预收款项|||144,288,612.60
合同负债|七、38|229,537,569.93|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|5,612,062.45|4,906,490.57
应交税费|七、40|34,861,740.72|27,844,862.86
其他应付款|七、41|2,237,875.96|1,383,049.53
其中：应付利息|七、41||187,731.50
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|七、44|29,839,884.09|
流动负债合计||325,190,320.20|330,596,143.60
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|七、30|261,736.30|
其他非流动负债|||
非流动负债合计||261,736.30|
负债合计||325,452,056.50|330,596,143.60
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|133,380,000.00|100,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|883,555,973.33|76,161,587.80
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积|七、59|73,452,932.65|62,049,514.35
page|71
一般风险准备|||
未分配利润|七、60|549,763,990.46|444,056,327.17
归属于母公司所有者权益（或股东权益）合计||1,640,152,896.44|682,267,429.32
少数股东权益||4,967,594.48|4,942,077.87
所有者权益（或股东权益）合计||1,645,120,490.92|687,209,507.19
负债和所有者权益（或股东权益）总计||1,970,572,547.42|1,017,805,650.79
