page|98
项目|2020 年度|2019 年度
一、营业总收入|3,355,844,226.52|3,510,147,949.37
其中：营业收入|3,355,844,226.52|3,510,147,949.37
page|99
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|3,128,356,591.59|2,973,523,911.66
其中：营业成本|2,187,055,375.22|2,081,652,152.40
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|27,452,456.79|25,402,076.96
销售费用|288,344,507.00|254,566,344.38
管理费用|270,207,519.63|281,683,581.64
研发费用|384,213,606.83|348,928,564.38
财务费用|-28,916,873.88|-18,708,808.10
其中：利息费用|6,366,461.07|1,913,520.84
利息收入|36,334,655.71|21,019,475.23
加：其他收益|107,194,685.30|131,346,027.78
投资收益（损失以“－”号填列）|-2,298,586.31|865,261.10
其中：对联营企业和合营企业的投资收益|-2,511,821.60|31,484.32
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-41,405,904.98|-33,002,517.63
资产减值损失（损失以“-”号填列）|-9,806,809.07|
资产处置收益（损失以“-”号填列）|-12,759.14|552.56
三、营业利润（亏损以“－”号填列）|281,158,260.73|635,833,361.52
加：营业外收入|573,651.71|10,471.36
减：营业外支出|3,667,853.51|12,563,151.09
四、利润总额（亏损总额以“－”号填列）|278,064,058.93|623,280,681.79
减：所得税费用|-16,003,830.08|41,333,259.21
page|100
五、净利润（净亏损以“－”号填列）|294,067,889.01|581,947,422.58
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|294,067,889.01|582,936,549.04
2.终止经营净利润（净亏损以“－”号填列）||-989,126.46
（二）按所有权归属分类||
1.归属于母公司股东的净利润|293,056,456.07|580,389,850.75
2.少数股东损益|1,011,432.94|1,557,571.83
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|294,067,889.01|581,947,422.58
归属于母公司所有者的综合收益总额|293,056,456.07|580,389,850.75
归属于少数股东的综合收益总额|1,011,432.94|1,557,571.83
八、每股收益：||
（一）基本每股收益|0.36|0.74
（二）稀释每股收益|0.35|0.73
