page|71
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|247,825,504.03|159,632,573.95
结算备付金||
拆出资金||
交易性金融资产||42,500,000.00
衍生金融资产||
应收票据||540,093.43
应收账款|346,296,349.66|382,346,580.24
应收款项融资|22,638,469.59|56,772,157.37
预付款项|95,086,826.15|124,562,929.72
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|14,833,170.61|8,865,484.09
其中：应收利息||
应收股利||
买入返售金融资产||
存货|575,286,306.00|488,677,711.36
合同资产|31,463,925.24|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|4,312,413.55|2,886,720.47
流动资产合计|1,337,742,964.83|1,266,784,250.63
非流动资产：||
发放贷款和垫款||
债权投资||
page|72
其他债权投资||
长期应收款||
长期股权投资|13,219,583.11|15,032,228.41
其他权益工具投资|52,555,500.00|52,555,500.00
其他非流动金融资产||
投资性房地产|8,296,474.56|9,234,096.71
固定资产|196,520,136.71|203,467,281.72
在建工程|172,778,335.40|59,251,547.52
生产性生物资产||
油气资产||
使用权资产||
无形资产|64,121,586.89|67,205,391.01
开发支出||
商誉|522,880,455.87|522,880,455.87
长期待摊费用|5,384,809.56|8,293,736.69
递延所得税资产|20,981,490.46|12,473,736.71
其他非流动资产|129,517,228.11|129,702,445.00
非流动资产合计|1,186,255,600.67|1,080,096,419.64
资产总计|2,523,998,565.50|2,346,880,670.27
流动负债：||
短期借款|155,014,848.11|148,899,273.81
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|178,714,275.57|163,025,656.01
应付账款|145,186,478.77|123,736,770.57
预收款项||132,443,500.56
合同负债|137,336,743.49|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|11,783,459.13|8,156,779.38
page|73
应交税费|23,816,443.64|21,304,281.08
其他应付款|15,033,353.48|12,372,096.17
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|8,920,161.10|
流动负债合计|675,805,763.29|609,938,357.58
非流动负债：||
保险合同准备金||
长期借款|52,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|9,530,576.88|9,919,085.32
递延所得税负债|831,998.96|1,019,494.52
其他非流动负债||
非流动负债合计|62,362,575.84|10,938,579.84
负债合计|738,168,339.13|620,876,937.42
所有者权益：||
股本|272,008,896.00|272,008,896.00
其他权益工具||
其中：优先股||
永续债||
资本公积|903,526,343.58|904,208,120.39
减：库存股||
其他综合收益|-335,293.52|-43,380.37
专项储备||
page|74
盈余公积|38,551,382.76|36,248,843.29
一般风险准备||
未分配利润|550,741,362.24|492,656,994.51
归属于母公司所有者权益合计|1,764,492,691.06|1,705,079,473.82
少数股东权益|21,337,535.31|20,924,259.03
所有者权益合计|1,785,830,226.37|1,726,003,732.85
负债和所有者权益总计|2,523,998,565.50|2,346,880,670.27
