page|95
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|560,617,641.58|507,068,508.11
结算备付金||
拆出资金||
交易性金融资产|1,001,604,472.72|555,903,309.16
衍生金融资产||
应收票据|21,430,570.22|13,064,427.95
应收账款|758,173,539.15|744,630,069.58
应收款项融资||
预付款项|52,716,741.75|35,807,681.77
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|52,170,517.89|43,307,743.83
其中：应收利息||
应收股利||480,000.00
买入返售金融资产||
存货|32,339,457.78|19,880,920.66
合同资产|103,297,161.09|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|85,043,546.23|321,961,292.15
流动资产合计|2,667,393,648.41|2,241,623,953.21
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|118,068,367.89|105,752,802.31
page|96
其他权益工具投资||
其他非流动金融资产|47,294,000.00|30,212,344.64
投资性房地产|33,930,353.64|35,017,442.03
固定资产|1,418,647,458.12|1,276,280,965.46
在建工程|212,138,027.61|116,978,198.50
生产性生物资产||
油气资产||
使用权资产||
无形资产|144,703,073.87|150,998,028.15
开发支出||
商誉|442,112,482.14|162,547,650.79
长期待摊费用|140,153,379.04|164,412,786.51
递延所得税资产|58,836,340.25|45,511,252.61
其他非流动资产|171,399,308.20|104,932,975.71
非流动资产合计|2,787,282,790.76|2,192,644,446.71
资产总计|5,454,676,439.17|4,434,268,399.92
流动负债：||
短期借款|160,154,305.56|192,777,359.15
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|73,912.21|
应付账款|548,860,093.93|413,195,187.86
预收款项||86,259,492.46
合同负债|75,179,931.49|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|364,571,417.09|309,519,142.24
应交税费|74,485,249.60|51,665,724.93
其他应付款|99,400,072.98|55,074,086.91
其中：应付利息||
page|97
应付股利|31,042.91|1,497,642.91
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|32,717,177.86|97,036.26
其他流动负债|2,170,093.66|
流动负债合计|1,357,612,254.38|1,108,588,029.81
非流动负债：||
保险合同准备金||
长期借款|84,823,699.31|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|847,738.90|371,605.38
长期应付职工薪酬||
预计负债|4,759,015.78|4,162,259.46
递延收益|107,213,599.53|64,382,807.91
递延所得税负债|65,962,432.60|48,344,986.51
其他非流动负债||
非流动负债合计|263,606,486.12|117,261,659.26
负债合计|1,621,218,740.50|1,225,849,689.07
所有者权益：||
股本|1,665,135,714.00|1,657,530,714.00
其他权益工具||
其中：优先股||
永续债||
资本公积|113,431,570.48|51,374,649.84
减：库存股||
其他综合收益|14,688,390.68|4,241,925.44
专项储备||
盈余公积|179,193,512.40|138,233,476.24
一般风险准备||
未分配利润|1,771,832,899.47|1,295,758,239.33
page|98
归属于母公司所有者权益合计|3,744,282,087.03|3,147,139,004.85
少数股东权益|89,175,611.64|61,279,706.00
所有者权益合计|3,833,457,698.67|3,208,418,710.85
负债和所有者权益总计|5,454,676,439.17|4,434,268,399.92
