page|110
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|531,010,216.72|746,678,187.69
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|3,199,651.54|55.74
收到其他与经营活动有关的现金|32,777,673.57|20,862,029.45
经营活动现金流入小计|566,987,541.83|767,540,272.88
购买商品、接受劳务支付的现金|343,652,074.09|629,647,859.83
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
page|111
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|91,335,316.63|87,939,981.02
支付的各项税费|44,911,404.32|7,244,214.95
支付其他与经营活动有关的现金|32,127,253.80|29,819,817.47
经营活动现金流出小计|512,026,048.84|754,651,873.27
经营活动产生的现金流量净额|54,961,492.99|12,888,399.61
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额||32,000.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计||32,000.00
购建固定资产、无形资产和其他长期资产支付的现金|7,750,241.88|11,868,954.56
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|7,750,241.88|11,868,954.56
投资活动产生的现金流量净额|-7,750,241.88|-11,836,954.56
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|364,997,408.59|339,896,459.00
收到其他与筹资活动有关的现金|173,123,377.84|378,852,512.43
筹资活动现金流入小计|538,120,786.43|718,748,971.43
偿还债务支付的现金|365,087,570.67|334,833,974.29
分配股利、利润或偿付利息支付的现金|18,576,779.80|21,363,494.89
page|112
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|172,619,520.55|372,354,135.44
筹资活动现金流出小计|556,283,871.02|728,551,604.62
筹资活动产生的现金流量净额|-18,163,084.59|-9,802,633.19
四、汇率变动对现金及现金等价物的影响|-1,392,897.71|345,701.72
五、现金及现金等价物净增加额|27,655,268.81|-8,405,486.42
加：期初现金及现金等价物余额|43,454,971.73|51,860,458.15
六、期末现金及现金等价物余额|71,110,240.54|43,454,971.73
