page|57
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|6,881,974,941.29|5,426,627,050.65
结算备付金|||
拆出资金|||
交易性金融资产|七、2|2,182,815.00|2,728,518.75
衍生金融资产|||
应收票据|七、4|1,097,289,507.29|635,849,486.23
应收账款|七、5|8,346,975,559.94|9,058,330,473.72
应收款项融资|七、6|4,336,011,300.99|3,821,902,245.04
预付款项|七、7|836,481,838.30|1,135,089,756.89
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|303,698,660.57|329,090,181.28
其中：应收利息||24,962,625.00|17,277,465.00
应收股利||3,944,771.00|2,824,000.00
买入返售金融资产|||
存货|七、9|4,652,678,794.98|5,752,208,049.74
合同资产|七、10|1,081,498,590.35|
持有待售资产|||
一年内到期的非流动资产|七、12|60,340,976.75|54,179,418.66
其他流动资产|七、13|183,043,154.99|146,669,272.49
流动资产合计||27,782,176,140.45|26,362,674,453.45
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|七、16|78,699,401.22|146,861,336.03
长期股权投资|七、17|688,791,853.80|616,305,617.18
其他权益工具投资|七、18|246,456,502.31|214,750,017.65
其他非流动金融资产|||
投资性房地产|七、20|121,956,914.74|126,812,813.23
固定资产|七、21|4,564,140,231.97|4,585,198,384.07
在建工程|七、22|1,965,981,411.10|1,761,845,978.27
生产性生物资产|七、23|2,564,041.79|2,095,913.81
油气资产|||
使用权资产|||
无形资产|七、26|1,937,723,718.02|2,049,541,478.27
开发支出|七、27|2,798,154.83|769,736.65
商誉|七、28|3,471,142.92|7,035,150.56
长期待摊费用|七、29|114,975,222.04|90,829,105.20
递延所得税资产|七、30|790,768,670.28|725,627,988.06
page|58
其他非流动资产|七、31|28,509,831.52|34,913,382.65
非流动资产合计||10,546,837,096.54|10,362,586,901.63
资产总计||38,329,013,236.99|36,725,261,355.08
流动负债：|||
短期借款|七、32|309,000,000.00|369,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|605,335,976.41|739,037,507.25
应付账款|七、36|6,253,719,728.28|5,923,966,280.60
预收款项|七、37|5,426,205.60|2,792,750,484.68
合同负债|七、38|2,800,410,982.05|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|1,064,434,501.27|930,837,661.19
应交税费|七、40|359,611,891.35|323,078,346.95
其他应付款|七、41|920,124,755.46|1,034,762,795.99
其中：应付利息|||4,006,851.75
应付股利||25,259,370.35|44,863,256.51
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|145,632,720.83|129,988,472.45
其他流动负债|七、44|695,808,237.72|109,262,916.79
流动负债合计||13,159,504,998.97|12,352,684,465.90
非流动负债：|||
保险合同准备金|||
长期借款|七、45|111,760,000.00|110,441,818.19
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48|118,327,078.55|218,573,004.67
长期应付职工薪酬|七、49|989,371,524.99|1,071,994,854.39
预计负债|七、50|118,544,086.35|43,820,528.45
递延收益|七、51|1,214,115,492.70|1,312,839,497.49
递延所得税负债||17,887,051.57|13,907,855.87
其他非流动负债|||
非流动负债合计||2,570,005,234.16|2,771,577,559.06
负债合计||15,729,510,233.13|15,124,262,024.96
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|4,138,588,892.00|4,138,588,892.00
其他权益工具|七、54||
其中：优先股|||
永续债|||
page|59
资本公积|七、55|1,693,081,057.12|1,688,430,016.62
减：库存股|||
其他综合收益|七、57|93,497,283.24|22,190,721.55
专项储备|七、58|113,928,702.37|106,484,729.95
盈余公积|七、59|556,469,635.29|493,371,045.99
一般风险准备||1,269,400.36|
未分配利润|七、60|11,432,990,508.33|10,665,084,109.40
归属于母公司所有者权益（或股东权益）合计||18,029,825,478.71|17,114,149,515.51
少数股东权益||4,569,677,525.15|4,486,849,814.61
所有者权益（或股东权益）合计||22,599,503,003.86|21,600,999,330.12
负债和所有者权益（或股东权益）总计||38,329,013,236.99|36,725,261,355.08
