page|92
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|4,051,960,186.56|2,165,823,514.31
结算备付金||
拆出资金||
交易性金融资产|187,305,000.00|
衍生金融资产||
应收票据|681,962,885.73|418,602,043.49
应收账款|1,117,763,999.34|1,014,163,566.39
应收款项融资||
预付款项|51,620,890.76|73,133,844.59
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|28,121,590.07|30,785,747.76
其中：应收利息||
应收股利||
买入返售金融资产||
存货|1,431,285,862.58|1,339,987,412.26
合同资产||
page|93
持有待售资产||
一年内到期的非流动资产||
其他流动资产|106,804,165.25|221,325,105.77
流动资产合计|7,656,824,580.29|5,263,821,234.57
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|56,129,585.63|69,761,021.81
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|3,724,552,503.45|3,329,762,554.92
在建工程|117,831,102.71|290,431,833.81
生产性生物资产||
油气资产||
使用权资产||
无形资产|731,517,613.73|716,950,870.36
开发支出||
商誉|3,849,599.19|3,849,599.19
长期待摊费用|11,765,206.20|20,589,274.67
递延所得税资产|182,543,900.98|125,333,297.03
其他非流动资产|58,836,303.04|44,429,398.06
非流动资产合计|4,887,025,814.93|4,601,107,849.85
资产总计|12,543,850,395.22|9,864,929,084.42
流动负债：||
短期借款|210,000,000.00|5,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|2,252,339,679.99|1,879,045,180.68
应付账款|1,276,144,342.85|1,320,899,607.99
page|94
预收款项||225,846,767.90
合同负债|255,400,793.75|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|161,273,796.64|121,090,322.65
应交税费|140,676,330.66|102,873,974.17
其他应付款|402,838,482.27|322,871,329.15
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|27,816,816.44|61,758,087.88
流动负债合计|4,726,490,242.60|4,039,385,270.42
非流动负债：||
保险合同准备金||
长期借款|99,910,000.00|486,386,037.98
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|193,400,956.67|147,528,393.59
递延所得税负债|5,903,694.83|5,040,911.38
其他非流动负债||
非流动负债合计|299,214,651.50|638,955,342.95
负债合计|5,025,704,894.10|4,678,340,613.37
所有者权益：||
股本|1,173,000,000.00|1,030,000,000.00
page|95
其他权益工具||
其中：优先股||
永续债||
资本公积|2,297,744,610.42|959,975,167.42
减：库存股||
其他综合收益||
专项储备||
盈余公积|344,875,109.88|314,184,570.99
一般风险准备||
未分配利润|3,687,060,558.61|2,865,887,787.88
归属于母公司所有者权益合计|7,502,680,278.91|5,170,047,526.29
少数股东权益|15,465,222.21|16,540,944.76
所有者权益合计|7,518,145,501.12|5,186,588,471.05
负债和所有者权益总计|12,543,850,395.22|9,864,929,084.42
