page|79
项目|附注|2020 年度|2019 年度
一、营业总收入||2,020,516,424.11|2,313,911,804.43
其中：营业收入||2,020,516,424.11|2,313,911,804.43
利息收入|||
已赚保费||-|-
手续费及佣金收入||-|-
二、营业总成本||1,826,661,568.96|2,031,837,587.95
其中：营业成本||1,440,573,617.65|1,590,226,312.12
利息支出||-|-
手续费及佣金支出||-|-
退保金||-|-
赔付支出净额||-|-
提取保险责任准备金净额||-|-
保单红利支出||-|-
分保费用||-|-
税金及附加||5,240,198.91|4,233,073.99
销售费用||188,976,164.14|266,265,984.98
管理费用||61,009,352.59|51,772,536.95
研发费用||100,121,297.37|122,601,550.75
财务费用||30,740,938.30|-3,261,870.84
其中：利息费用||6,842,503.20|4,483,760.91
page|80
利息收入||7,595,121.90|10,541,180.02
加：其他收益||18,860,247.42|14,902,929.31
投资收益（损失以“－”号填列）||17,871,900.16|8,174,385.08
其中：对联营企业和合营企业的投资收益||-5,500,951.21|-691,940.79
以摊余成本计量的金融资产终止确认收益||10,935,927.94|17,354,287.09
汇兑收益（损失以“－”号填列）||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“－”号填列）||7,050,069.65|19,418,570.85
信用减值损失（损失以“-”号填列）||-37,392,286.63|-863,226.47
资产减值损失（损失以“-”号填列）||-2,764,894.22|-6,156,959.22
资产处置收益（损失以“－”号填列）||2,881,729.88|9,363,852.87
三、营业利润（亏损以“－”号填列）||200,361,621.41|326,913,768.90
加：营业外收入||1,717,567.71|2,054,615.66
减：营业外支出||3,907,603.75|1,179,959.31
四、利润总额（亏损总额以“－”号填列）||198,171,585.37|327,788,425.25
减：所得税费用||17,205,124.93|39,624,885.30
五、净利润（净亏损以“－”号填列）||180,966,460.44|288,163,539.95
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||180,966,460.44|288,163,539.95
2.终止经营净利润（净亏损以“－”号填列）||-|-
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||193,001,094.31|295,589,240.20
2.少数股东损益（净亏损以“-”号填列）||-12,034,633.87|-7,425,700.25
六、其他综合收益的税后净额||-678,973.90|-606,913.75
（一）归属母公司所有者的其他综合收益的税后净额||-676,746.60|-630,935.33
1．不能重分类进损益的其他综合收益||-670,064.71|-703,000.08
（1）重新计量设定受益计划变动额||-|-
（2）权益法下不能转损益的其他综合收益||-|-
（3）其他权益工具投资公允价值变动||-670,064.71|-703,000.08
（4）企业自身信用风险公允价值变动||-|-
2．将重分类进损益的其他综合收益||-6,681.89|72,064.75
（1）权益法下可转损益的其他综合收益||-|-
（2）其他债权投资公允价值变动||-|-
（3）金融资产重分类计入其他综合收益的金额||-|-
（4）其他债权投资信用减值准备||-|-
（5）现金流量套期储备||-|-
（6）外币财务报表折算差额||-6,681.89|72,064.75
（7）其他||-|-
（二）归属于少数股东的其他综合收益的税后净额||-2,227.30|24,021.58
七、综合收益总额||180,287,486.54|287,556,626.20
（一）归属于母公司所有者的综合收益总额||192,324,347.71|294,958,304.87
（二）归属于少数股东的综合收益总额||-12,036,861.17|-7,401,678.67
八、每股收益：||-|-
page|81
（一）基本每股收益(元/股)||1.42|2.13
（二）稀释每股收益(元/股)||1.41|2.13
