page|98
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||228,211,343.70|158,067,523.49
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78|42,999,920.61|11,142,084.07
经营活动现金流入小计||271,211,264.31|169,209,607.56
购买商品、接受劳务支付的现金||248,001,073.29|134,704,655.71
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||32,133,357.13|20,461,081.48
支付的各项税费||15,205,038.66|3,368,486.15
支付其他与经营活动有关的现金|七、78|35,581,420.81|26,551,688.93
经营活动现金流出小计||330,920,889.89|185,085,912.27
经营活动产生的现金流量净额||-59,709,625.58|-15,876,304.71
二、投资活动产生的现金流量：|||
收回投资收到的现金||424,640,000.00|62,000,000.00
取得投资收益收到的现金||2,150,752.09|304,608.70
处置固定资产、无形资产和其||10,000.00|
page|99
他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||426,800,752.09|62,304,608.70
购建固定资产、无形资产和其他长期资产支付的现金||23,396,407.93|6,990,607.61
投资支付的现金||347,640,000.00|147,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||371,036,407.93|153,990,607.61
投资活动产生的现金流量净额||55,764,344.16|-91,685,998.91
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||166,600,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||13,722,909.75|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||13,722,909.75|166,600,000.00
偿还债务支付的现金|||2,000,000.00
分配股利、利润或偿付利息支付的现金||111,156.84|6,525.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||111,156.84|2,006,525.00
筹资活动产生的现金流量净额||13,611,752.91|164,593,475.00
四、汇率变动对现金及现金等价物的影响||-153,342.47|19,372.51
五、现金及现金等价物净增加额  七、79||9,513,129.02|57,050,543.89
加：期初现金及现金等价物余额|七、79|68,496,603.08|11,446,059.19
六、期末现金及现金等价物余额  七、79||78,009,732.10|68,496,603.08
