page|105
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|486,884,397.53|199,956,493.54
结算备付金||
拆出资金||
交易性金融资产|331,865,917.81|
衍生金融资产||
应收票据|1,000,000.00|
应收账款|127,432,785.50|143,154,842.72
应收款项融资||
预付款项|6,347,694.60|5,296,693.83
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|5,390,795.39|5,646,718.00
其中：应收利息|796,426.62|
应收股利||
买入返售金融资产||
存货|196,164,772.14|216,452,491.31
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|7,192,555.84|11,213,091.22
流动资产合计|1,162,278,918.81|581,720,330.62
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资|74,994.24|73,279.85
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|162,266,820.70|3,363,471.40
page|106
在建工程||153,427,713.24
生产性生物资产||
油气资产||
使用权资产||
无形资产|40,407,679.76|42,639,455.60
开发支出||
商誉||
长期待摊费用|35,377.35|58,962.26
递延所得税资产|3,507,967.41|4,022,082.81
其他非流动资产||
非流动资产合计|206,292,839.46|203,584,965.16
资产总计|1,368,571,758.27|785,305,295.78
流动负债：||
短期借款||12,186,957.88
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|184,252,680.32|199,682,273.23
预收款项||15,350,843.32
合同负债|15,021,553.55|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|18,993,048.95|15,767,377.70
应交税费|27,566,642.33|33,299,513.01
其他应付款|50,882,841.32|65,552,263.58
其中：应付利息||145,095.00
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|107
一年内到期的非流动负债||10,000,000.00
其他流动负债|400,641.22|
流动负债合计|297,117,407.69|351,839,228.72
非流动负债：||
保险合同准备金||
长期借款||94,848,251.31
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债|66,543.32|429,788.91
其他非流动负债||
非流动负债合计|66,543.32|95,278,040.22
负债合计|297,183,951.01|447,117,268.94
所有者权益：||
股本|100,000,000.00|75,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|590,177,431.46|17,784,006.91
减：库存股||
其他综合收益|-30,156.28|6,613.14
专项储备||
盈余公积|25,799,871.87|16,594,419.31
一般风险准备||
未分配利润|355,440,660.21|228,802,987.48
归属于母公司所有者权益合计|1,071,387,807.26|338,188,026.84
少数股东权益||
所有者权益合计|1,071,387,807.26|338,188,026.84
负债和所有者权益总计|1,368,571,758.27|785,305,295.78
