page|112
项目|2020 年度|2019 年度
一、营业总收入|1,601,709,079.85|1,153,661,613.91
其中：营业收入|1,601,709,079.85|1,153,661,613.91
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,445,125,706.09|1,056,004,249.62
其中：营业成本|1,110,451,845.60|718,312,192.48
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|5,270,807.56|5,344,148.19
销售费用|163,129,587.59|189,454,245.05
管理费用|104,806,590.76|93,775,244.00
page|113
研发费用|42,338,307.82|48,502,202.95
财务费用|19,128,566.76|616,216.95
其中：利息费用|19,225,904.65|729,212.49
利息收入|4,298,314.72|2,021,192.99
加：其他收益|28,344,259.68|12,792,587.11
投资收益（损失以“－”号填列）|4,317,844.04|14,042,121.40
其中：对联营企业和合营企业的投资收益|163,633.08|-52,098.57
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-36,992.20|-8,105,351.86
资产减值损失（损失以“-”号填列）|-40,633,553.56|-25,881,083.89
资产处置收益（损失以“-”号填列）|-4,373,505.03|-279,823.19
三、营业利润（亏损以“－”号填列）|144,201,426.69|90,225,813.86
加：营业外收入|3,693,470.13|711,477.93
减：营业外支出|1,710,621.92|3,848,250.88
四、利润总额（亏损总额以“－”号填列）|146,184,274.90|87,089,040.91
减：所得税费用|-711,814.51|373,605.57
五、净利润（净亏损以“－”号填列）|146,896,089.41|86,715,435.34
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|146,896,089.41|86,715,435.34
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|133,447,779.74|94,577,409.98
2.少数股东损益|13,448,309.67|-7,861,974.64
page|114
六、其他综合收益的税后净额|76,651.21|-3,827.15
归属母公司所有者的其他综合收益的税后净额|76,651.21|-3,827.15
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|76,651.21|-3,827.15
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额|76,651.21|-3,827.15
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|146,972,740.62|86,711,608.19
归属于母公司所有者的综合收益总额|133,524,430.95|94,573,582.83
归属于少数股东的综合收益总额|13,448,309.67|-7,861,974.64
八、每股收益：||
（一）基本每股收益|0.32|0.22
（二）稀释每股收益|0.32|0.22
