page|69
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|611,161,457.97|494,860,615.23
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|53,825,062.58|173,696,455.18
应收账款|532,163,938.20|600,932,500.32
应收款项融资|90,584,699.05|
预付款项|12,609,035.87|15,630,180.65
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|28,187,754.17|63,017,129.66
其中：应收利息||33,903.72
应收股利|280,000.00|280,000.00
买入返售金融资产||
存货|449,176,727.95|386,628,432.69
合同资产|36,511,070.25|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|87,232,697.75|78,946,351.68
流动资产合计|1,901,452,443.79|1,813,711,665.41
非流动资产：||
发放贷款和垫款||
债权投资||
page|70
其他债权投资||
长期应收款||
长期股权投资|28,422,135.81|40,158,805.01
其他权益工具投资|39,349,250.00|39,849,250.00
其他非流动金融资产|27,800,000.00|
投资性房地产|4,058,313.98|4,199,194.96
固定资产|439,886,999.28|453,781,952.55
在建工程|122,357,048.58|30,489,227.72
生产性生物资产||
油气资产||
使用权资产||
无形资产|113,906,336.39|113,864,646.62
开发支出||3,249,858.01
商誉|61,314,755.93|61,314,755.93
长期待摊费用|19,864,889.70|31,352,058.56
递延所得税资产|52,732,447.42|44,986,656.30
其他非流动资产|36,717,209.01|36,699,654.64
非流动资产合计|946,409,386.10|859,946,060.30
资产总计|2,847,861,829.89|2,673,657,725.71
流动负债：||
短期借款|151,000,000.00|259,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|194,299,220.11|162,801,437.11
应付账款|484,018,161.05|430,880,456.67
预收款项||56,735,582.98
合同负债|62,814,163.67|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|131,914,855.82|114,082,897.74
page|71
应交税费|13,236,207.01|7,147,496.69
其他应付款|40,518,912.09|48,199,273.36
其中：应付利息||213,149.84
应付股利||160,050.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|11,062,256.09|
流动负债合计|1,088,863,775.84|1,078,847,144.55
非流动负债：||
保险合同准备金||
长期借款|50,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|645,012.40|645,012.40
长期应付职工薪酬||
预计负债|3,224,044.55|
递延收益|30,786,126.36|37,512,015.69
递延所得税负债||
其他非流动负债||
非流动负债合计|84,655,183.31|38,157,028.09
负债合计|1,173,518,959.15|1,117,004,172.64
所有者权益：||
股本|753,465,210.00|753,498,210.00
其他权益工具||
其中：优先股||
永续债||
资本公积|214,715,922.87|198,835,818.08
减：库存股|36,011,952.42|46,296,837.24
其他综合收益|1,149.20|
专项储备||
page|72
盈余公积|149,738,721.70|122,770,271.31
一般风险准备||
未分配利润|633,275,932.20|524,645,664.40
归属于母公司所有者权益合计|1,715,184,983.55|1,553,453,126.55
少数股东权益|-40,842,112.81|3,200,426.52
所有者权益合计|1,674,342,870.74|1,556,653,553.07
负债和所有者权益总计|2,847,861,829.89|2,673,657,725.71
