page|74
项目|附注|2020 年度|2019 年度
一、营业总收入||1,413,474,554.67|1,244,468,462.57
其中：营业收入||1,413,474,554.67|1,244,468,462.57
利息收入|||
page|75
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,246,307,740.15|1,099,312,669.08
其中：营业成本||1,105,901,160.67|965,176,750.71
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||5,565,196.10|5,620,817.76
销售费用||29,117,978.21|26,958,566.08
管理费用||106,132,078.06|102,782,651.00
研发费用||1,028,221.21|1,555,273.79
财务费用||-1,436,894.10|-2,781,390.26
其中：利息费用|||
利息收入||3,952,452.75|4,783,424.83
加：其他收益||18,896,956.57|11,697,394.66
投资收益（损失以“－”号填列）||19,974,567.54|23,650,641.23
其中：对联营企业和合营企业的投资收益||-21,210.62|
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||3,228,116.94|7,282,990.71
信用减值损失（损失以“-”号填列）||-13,273,645.88|-7,586,529.78
资产减值损失（损失以“-”号填列）||-132,617.65|-5,066,338.64
资产处置收益（损失以“－”号填列）||-176,032.70|-26,910.25
三、营业利润（亏损以“－”号填列）||195,684,159.34|175,107,041.42
加：营业外收入||181,871.16|699,430.19
减：营业外支出||805,348.91|822,188.95
四、利润总额（亏损总额以“－”号填列）||195,060,681.59|174,984,282.66
减：所得税费用||49,749,386.86|54,699,297.60
五、净利润（净亏损以“－”号填列）||145,311,294.73|120,284,985.06
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||145,311,294.73|120,284,985.06
page|76
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||137,872,207.71|113,930,766.06
2.少数股东损益（净亏损以“-”号填列）||7,439,087.02|6,354,219.00
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||145,311,294.73|120,284,985.06
（一）归属于母公司所有者的综合收益总额||137,872,207.71|113,930,766.06
（二）归属于少数股东的综合收益总额||7,439,087.02|6,354,219.00
八、每股收益：|||
（一）基本每股收益(元/股)||1.03|0.85
（二）稀释每股收益(元/股)||1.03|0.85
