page|69
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|250,478,265.52|66,164,299.98
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||19,104,936.97
应收账款|293,766,179.44|280,308,047.58
应收款项融资||30,000,000.00
预付款项|3,732,430.09|800,592.13
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|1,151,943.74|3,799,903.08
其中：应收利息||
应收股利||
买入返售金融资产||
存货|206,247,918.82|152,683,858.19
page|70
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|109,570,112.03|8,353,610.48
流动资产合计|864,946,849.64|561,215,248.41
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|137,032,456.82|112,222,558.29
在建工程|142,717,898.05|21,004,892.38
生产性生物资产||
油气资产||
使用权资产||
无形资产|68,854,189.96|48,587,133.27
开发支出||
商誉||
长期待摊费用|1,544,630.87|1,292,333.86
递延所得税资产|3,153,432.40|3,013,470.69
其他非流动资产|18,255,670.56|7,653,403.49
非流动资产合计|371,558,278.66|193,773,791.98
资产总计|1,236,505,128.30|754,989,040.39
流动负债：||
短期借款|90,015,931.49|19,210,621.85
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|6,981,135.87|
应付账款|279,436,713.74|267,420,614.24
预收款项||585,681.57
合同负债|1,799,458.76|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|12,825,897.66|13,221,050.63
应交税费|2,624,402.79|5,394,211.85
page|71
其他应付款|4,405,717.50|5,102,033.18
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|398,089,257.81|310,934,213.32
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|2,740,000.00|400,000.00
递延所得税负债||
其他非流动负债||
非流动负债合计|2,740,000.00|400,000.00
负债合计|400,829,257.81|311,334,213.32
所有者权益：||
股本|96,000,000.00|72,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|457,738,616.32|120,355,954.44
减：库存股||
其他综合收益|-5,671,603.56|-450,852.63
专项储备||
盈余公积|28,218,395.56|25,487,479.00
一般风险准备||
未分配利润|259,390,462.17|226,262,246.26
归属于母公司所有者权益合计|835,675,870.49|443,654,827.07
少数股东权益||
所有者权益合计|835,675,870.49|443,654,827.07
负债和所有者权益总计|1,236,505,128.30|754,989,040.39
